Gene_Name,homologous_superfamily,name
ITGA11,"['IPR028994', 'IPR032695', 'IPR036465']","['Integrin alpha, N-terminal', 'Integrin domain superfamily', 'von Willebrand factor A-like domain superfamily']"
MYH13,"['IPR008989', 'IPR036961']","['Myosin S1 fragment, N-terminal', 'Kinesin motor domain superfamily']"
MYH2,"['IPR008989', 'IPR027401', 'IPR036961']","['Myosin S1 fragment, N-terminal', 'Myosin IQ motif-containing domain superfamily', 'Kinesin motor domain superfamily']"
ANXA13,['IPR037104'],['Annexin superfamily']
SAR1B,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
TEX10,['IPR016024'],['Armadillo-type fold']
NUP50,['IPR011993'],['PH-like domain superfamily']
EML5,"['IPR011041', 'IPR011047', 'IPR015943']","['Soluble quinoprotein glucose/sorbosone dehydrogenase', 'Quinoprotein alcohol dehydrogenase-like superfamily', 'WD40/YVTN repeat-like-containing domain superfamily']"
AP4B1,"['IPR011989', 'IPR016024']","['Armadillo-like helical', 'Armadillo-type fold']"
CXCL5,['IPR036048'],['Chemokine interleukin-8-like superfamily']
ADAMTS6,"['IPR024079', 'IPR036383']","['Metallopeptidase, catalytic domain superfamily', 'Thrombospondin type-1 (TSP1) repeat superfamily']"
BAG5,['IPR036533'],['BAG domain superfamily']
OR7D2,,
,,
ADAMTS7,"['IPR024079', 'IPR036383']","['Metallopeptidase, catalytic domain superfamily', 'Thrombospondin type-1 (TSP1) repeat superfamily']"
MADD,['IPR043153'],"['DENN domain, C-terminal lobe']"
SCN10A,['IPR027359'],['Voltage-dependent channel domain superfamily']
ITGB1BP2,['IPR008978'],['HSP20-like chaperone']
SARDH,"['IPR029043', 'IPR036188']","['Glycine cleavage T-protein/YgfZ, C-terminal', 'FAD/NAD(P)-binding domain superfamily']"
RARRES3,,
RSAD2,['IPR013785'],['Aldolase-type TIM barrel']
ST14,"['IPR009003', 'IPR036055', 'IPR043504']","['Peptidase S1, PA clan', 'LDL receptor-like superfamily', 'Peptidase S1, PA clan, chymotrypsin-like fold']"
PEX16,"['IPR009003', 'IPR036055', 'IPR043504']","['Peptidase S1, PA clan', 'LDL receptor-like superfamily', 'Peptidase S1, PA clan, chymotrypsin-like fold']"
AGO1,"['IPR012337', 'IPR036085', 'IPR036397']","['Ribonuclease H-like superfamily', 'PAZ domain superfamily', 'Ribonuclease H superfamily']"
TBX21,['IPR008967'],"['p53-like transcription factor, DNA-binding']"
CFAP45,,
UTS2R,,
LYVE1,"['IPR016186', 'IPR016187']","['C-type lectin-like/link domain superfamily', 'C-type lectin fold']"
ADGRV1,"['IPR013320', 'IPR038081']","['Concanavalin A-like lectin/glucanase domain superfamily', 'CalX-like domain superfamily']"
S100Z,['IPR011992'],['EF-hand domain pair']
PPP1R3B,['IPR038175'],['CBM21 domain superfamily']
PGP,"['IPR023214', 'IPR036412']","['HAD superfamily', 'HAD-like superfamily']"
NCAPG2,"['IPR011989', 'IPR016024']","['Armadillo-like helical', 'Armadillo-type fold']"
AK2,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
B4GALT1,['IPR029044'],['Nucleotide-diphospho-sugar transferases']
HEPACAM2,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
HEBP2,['IPR011256'],"['Regulatory factor, effector binding domain superfamily']"
ADAM28,"['IPR024079', 'IPR036436']","['Metallopeptidase, catalytic domain superfamily', 'Disintegrin domain superfamily']"
FAM86JP,"['IPR024079', 'IPR036436']","['Metallopeptidase, catalytic domain superfamily', 'Disintegrin domain superfamily']"
FAM171A2,,
BACE2,['IPR021109'],['Aspartic peptidase domain superfamily']
ZSWIM9,['IPR021109'],['Aspartic peptidase domain superfamily']
RAB22A,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
CRYGN,['IPR011024'],['Gamma-crystallin-like']
RAB21,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
RLN3,['IPR036438'],['Insulin-like superfamily']
SRSF12,['IPR012677'],['Nucleotide-binding alpha-beta plait domain superfamily']
HCFC2,"['IPR011043', 'IPR015915']","['Galactose oxidase/kelch, beta-propeller', 'Kelch-type beta propeller']"
B3GALT1,['IPR029044'],['Nucleotide-diphospho-sugar transferases']
KLK9,"['IPR009003', 'IPR043504']","['Peptidase S1, PA clan', 'Peptidase S1, PA clan, chymotrypsin-like fold']"
PSPC1,"['IPR012677', 'IPR035979']","['Nucleotide-binding alpha-beta plait domain superfamily', 'RNA-binding domain superfamily']"
MOGS,"['IPR008928', 'IPR012341', 'IPR038518']","['Six-hairpin glycosidase superfamily', 'Six-hairpin glycosidase-like superfamily', 'Glycosyl hydrolase family 63, N-terminal domain superfamily']"
UBIAD1,,
GAS1,,
TMEM70,,
DEDD2,['IPR011029'],['Death-like domain superfamily']
PRRX1,,
ATL1,"['IPR027417', 'IPR036543']","['P-loop containing nucleoside triphosphate hydrolase', 'Guanylate-binding protein, C-terminal domain superfamily']"
MTHFR,,
OR5H15,,
IQCA1,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
MKNK1,['IPR011009'],['Protein kinase-like domain superfamily']
ADAT1,,
PTPN5,['IPR029021'],['Protein-tyrosine phosphatase-like']
ECE1,"['IPR024079', 'IPR042089']","['Metallopeptidase, catalytic domain superfamily', 'Peptidase M13, domain 2']"
TRAPPC2L,['IPR011012'],['Longin-like domain superfamily']
KLK13,"['IPR009003', 'IPR043504']","['Peptidase S1, PA clan', 'Peptidase S1, PA clan, chymotrypsin-like fold']"
MPL,"['IPR013783', 'IPR036116']","['Immunoglobulin-like fold', 'Fibronectin type III superfamily']"
EIF1,['IPR036877'],['SUI1 domain superfamily']
KLK12,"['IPR009003', 'IPR043504']","['Peptidase S1, PA clan', 'Peptidase S1, PA clan, chymotrypsin-like fold']"
SV2C,['IPR036259'],['MFS transporter superfamily']
ZNF236,,
ERG28,,
ATRIP,,
CASKIN2,"['IPR013761', 'IPR036028', 'IPR036770']","['Sterile alpha motif/pointed domain superfamily', 'SH3-like domain superfamily', 'Ankyrin repeat-containing domain superfamily']"
MEI4,,
ATP1A4,"['IPR023214', 'IPR023299']","['HAD superfamily', 'P-type ATPase, cytoplasmic domain N']"
TSPAN16,['IPR008952'],"['Tetraspanin, EC2 domain superfamily']"
STON2,['IPR036168'],"['AP-2 complex subunit mu, C-terminal superfamily']"
MYL10,['IPR011992'],['EF-hand domain pair']
TXLNA,,
SPINDOC,,
PLK5,['IPR036947'],['POLO box domain superfamily']
ZNF346,,
TRIM49B,"['IPR013320', 'IPR043136']","['Concanavalin A-like lectin/glucanase domain superfamily', 'B30.2/SPRY domain superfamily']"
NBPF5P,"['IPR013320', 'IPR043136']","['Concanavalin A-like lectin/glucanase domain superfamily', 'B30.2/SPRY domain superfamily']"
CCT6A,"['IPR027409', 'IPR027410', 'IPR027413']","['GroEL-like apical domain superfamily', 'TCP-1-like chaperonin intermediate domain superfamily', 'GroEL-like equatorial domain superfamily']"
PNMA2,,
THPO,['IPR009079'],"['Four-helical cytokine-like, core']"
PNMA3,['IPR036875'],"['Zinc finger, CCHC-type superfamily']"
SCG3,,
IKZF2,['IPR036236'],['Zinc finger C2H2 superfamily']
PACSIN3,,
PSME2,"['IPR036252', 'IPR036996', 'IPR036997']","['Proteasome activator superfamily', 'Proteasome activator PA28, N-terminal domain superfamily', 'Proteasome activator PA28, C-terminal domain superfamily']"
GYS2,,
RXFP2,"['IPR032675', 'IPR036055']","['Leucine-rich repeat domain superfamily', 'LDL receptor-like superfamily']"
BLOC1S6,,
ALCAM,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
TCFL5,['IPR036638'],['Helix-loop-helix DNA-binding domain superfamily']
SIRT5,"['IPR026591', 'IPR029035']","['Sirtuin, catalytic core small domain superfamily', 'DHS-like NAD/FAD-binding domain superfamily']"
EMP1,,
CASKIN1,"['IPR013761', 'IPR036028']","['Sterile alpha motif/pointed domain superfamily', 'SH3-like domain superfamily']"
TUBA3C,"['IPR013761', 'IPR036028']","['Sterile alpha motif/pointed domain superfamily', 'SH3-like domain superfamily']"
NRL,,
GEMIN6,,
ARSA,['IPR017850'],"['Alkaline-phosphatase-like, core domain superfamily']"
DHFR2,['IPR024072'],['Dihydrofolate reductase-like domain superfamily']
HCN2,"['IPR014710', 'IPR018490']","['RmlC-like jelly roll fold', 'Cyclic nucleotide-binding-like']"
BECN2,['IPR038274'],['Atg6/Beclin C-terminal domain superfamily']
ARHGEF33,,
FBXO4,['IPR036047'],['F-box-like domain superfamily']
TAOK2,['IPR011009'],['Protein kinase-like domain superfamily']
FBXO5,,
ZNF575,['IPR036236'],['Zinc finger C2H2 superfamily']
PHF20L1,"['IPR011011', 'IPR013083']","['Zinc finger, FYVE/PHD-type', 'Zinc finger, RING/FYVE/PHD-type']"
TMPRSS11E,"['IPR009003', 'IPR036364', 'IPR043504']","['Peptidase S1, PA clan', 'SEA domain superfamily', 'Peptidase S1, PA clan, chymotrypsin-like fold']"
CABLES2,['IPR036915'],['Cyclin-like superfamily']
APCDD1,,
SLC12A7,,
C1orf35,,
VWA8,,
DPH7,"['IPR015943', 'IPR036322']","['WD40/YVTN repeat-like-containing domain superfamily', 'WD40-repeat-containing domain superfamily']"
RCOR1,['IPR009057'],['Homeobox-like domain superfamily']
TNFRSF18,,
FSD1,"['IPR013320', 'IPR013783']","['Concanavalin A-like lectin/glucanase domain superfamily', 'Immunoglobulin-like fold']"
MPC1,"['IPR013320', 'IPR013783']","['Concanavalin A-like lectin/glucanase domain superfamily', 'Immunoglobulin-like fold']"
TMEM43,,
TSSC4,,
HS3ST3B1,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
HS3ST4,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
GJD2,,
TMEM243,,
KPTN,,
INSIG2,,
CASP8AP2,['IPR009057'],['Homeobox-like domain superfamily']
OR52A1,,
HS3ST3A1,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
IL1F10,['IPR008996'],['Cytokine IL1/FGF']
PCTP,['IPR023393'],['START-like domain superfamily']
HPF1,,
IER3IP1,,
TRMO,['IPR036413'],['YaeB-like superfamily']
LIPH,['IPR029058'],['Alpha/Beta hydrolase fold']
OR2A7,,
GOLGA6C,,
OR2A14,,
MBD3L1,,
FAM104B,,
WFDC12,['IPR036645'],['Elafin-like superfamily']
PSKH2,['IPR011009'],['Protein kinase-like domain superfamily']
TSPAN32,,
OTP,,
ARX,['IPR009057'],['Homeobox-like domain superfamily']
PRPF31,"['IPR029012', 'IPR036070', 'IPR042239']","['Helix hairpin bin domain superfamily', 'Nop domain superfamily', 'Nop, C-terminal domain']"
PXDNL,"['IPR010255', 'IPR013783', 'IPR032675', 'IPR036179', 'IPR037120']","['Haem peroxidase superfamily', 'Immunoglobulin-like fold', 'Leucine-rich repeat domain superfamily', 'Immunoglobulin-like domain superfamily', 'Haem peroxidase domain superfamily, animal type']"
ZNF706,['IPR026939'],['ZNF706/At2g23090 superfamily']
PDHA2,['IPR029061'],['Thiamin diphosphate-binding fold']
OR2A5,,
PI4K2A,,
MRPS18B,['IPR036870'],['Ribosomal protein S18 superfamily']
CENPO,,
AUP1,,
ZNF227,"['IPR036051', 'IPR036236']","['KRAB domain superfamily', 'Zinc finger C2H2 superfamily']"
COPG1,"['IPR009028', 'IPR011989', 'IPR016024']","['Coatomer/calthrin adaptor appendage, C-terminal subdomain', 'Armadillo-like helical', 'Armadillo-type fold']"
ALG5,,
MAGED1,"['IPR041898', 'IPR041899']","['MAGE homology domain, winged helix WH1 motif', 'MAGE homology domain, winged helix WH2 motif']"
ALG6,,
PRR15L,,
SNURF,,
MTRNR2L13,,
RALY,,
IRAK4,"['IPR011009', 'IPR011029']","['Protein kinase-like domain superfamily', 'Death-like domain superfamily']"
MAN1B1,"['IPR012341', 'IPR036026']","['Six-hairpin glycosidase-like superfamily', 'Seven-hairpin glycosidases']"
UCKL1,"['IPR027417', 'IPR029057']","['P-loop containing nucleoside triphosphate hydrolase', 'Phosphoribosyltransferase-like']"
NDUFAF3,['IPR036748'],['MTH938-like superfamily']
GEMIN8,['IPR036748'],['MTH938-like superfamily']
ALG10,['IPR036748'],['MTH938-like superfamily']
SLC5A11,['IPR038377'],['Sodium/glucose symporter superfamily']
AKAP9,,
PALLD,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
OR2V2,,
NLRP7,"['IPR027417', 'IPR032675']","['P-loop containing nucleoside triphosphate hydrolase', 'Leucine-rich repeat domain superfamily']"
ZBED9,"['IPR012337', 'IPR038269']","['Ribonuclease H-like superfamily', 'SCAN domain superfamily']"
NELFB,,
SCGB3A1,,
FKBP7,['IPR011992'],['EF-hand domain pair']
PURB,,
GAL3ST1,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
SELENOM,"['IPR036249', 'IPR038219']","['Thioredoxin-like superfamily', 'Selenoprotein F/M superfamily']"
METTL21EP,['IPR029063'],['S-adenosyl-L-methionine-dependent methyltransferase']
BTNL10,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
OR6C68,,
SNX13,['IPR036305'],['RGS domain superfamily']
SNX14,"['IPR036305', 'IPR036871']","['RGS domain superfamily', 'PX domain superfamily']"
MED10,,
LAIR1,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
MUC12,['IPR036364'],['SEA domain superfamily']
SPATS1,,
SNX11,['IPR036871'],['PX domain superfamily']
ARL5A,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
MYO15A,"['IPR027417', 'IPR035963', 'IPR036028', 'IPR036961']","['P-loop containing nucleoside triphosphate hydrolase', 'FERM superfamily, second domain', 'SH3-like domain superfamily', 'Kinesin motor domain superfamily']"
KLF2,['IPR036236'],['Zinc finger C2H2 superfamily']
PRDM4,['IPR036236'],['Zinc finger C2H2 superfamily']
LRRC1,['IPR032675'],['Leucine-rich repeat domain superfamily']
CD109,"['IPR008930', 'IPR013783', 'IPR014756', 'IPR036595']","['Terpenoid cyclases/protein prenyltransferase alpha-alpha toroid', 'Immunoglobulin-like fold', 'Immunoglobulin E-set', 'Alpha-macroglobulin, receptor-binding domain superfamily']"
WIF1,['IPR038677'],['WIF domain superfamily']
ASB5,['IPR038677'],['WIF domain superfamily']
VGLL1,,
GTF3C4,['IPR036322'],['WD40-repeat-containing domain superfamily']
ANP32E,['IPR032675'],['Leucine-rich repeat domain superfamily']
VRK1,['IPR011009'],['Protein kinase-like domain superfamily']
SEMA3C,"['IPR013783', 'IPR015943', 'IPR036179', 'IPR036352']","['Immunoglobulin-like fold', 'WD40/YVTN repeat-like-containing domain superfamily', 'Immunoglobulin-like domain superfamily', 'Sema domain superfamily']"
FMO1,,
OMD,['IPR032675'],['Leucine-rich repeat domain superfamily']
RASSF5,,
KCNMB2,['IPR037096'],"['KCNMB2, ball/chain domain superfamily']"
SNX9,"['IPR027267', 'IPR036871']","['AH/BAR domain superfamily', 'PX domain superfamily']"
HEATR4,['IPR016024'],['Armadillo-type fold']
SNX10,['IPR036871'],['PX domain superfamily']
LHFPL6,,
SNX5,['IPR036871'],['PX domain superfamily']
GMEB1,['IPR010919'],['SAND-like domain superfamily']
C19orf70,['IPR010919'],['SAND-like domain superfamily']
SNX8,"['IPR027267', 'IPR036871']","['AH/BAR domain superfamily', 'PX domain superfamily']"
OR2M4,,
GAB3,['IPR011993'],['PH-like domain superfamily']
GDF15,['IPR029034'],['Cystine-knot cytokine']
OR2M2,,
LIPG,"['IPR029058', 'IPR036392']","['Alpha/Beta hydrolase fold', 'PLAT/LH2 domain superfamily']"
CACNG2,,
INTS6,,
CIR1,,
DSE,['IPR008929'],['Chondroitin AC/alginate lyase']
NPFFR2,,
RPS19BP1,,
SLC22A7,['IPR036259'],['MFS transporter superfamily']
NR2E3,"['IPR013088', 'IPR035500']","['Zinc finger, NHR/GATA-type', 'Nuclear hormone receptor-like domain superfamily']"
NFS1,"['IPR015421', 'IPR015422', 'IPR015424']","['Pyridoxal phosphate-dependent transferase, major domain', 'Pyridoxal phosphate-dependent transferase domain 1', 'Pyridoxal phosphate-dependent transferase']"
CLIC4,"['IPR036249', 'IPR036282']","['Thioredoxin-like superfamily', 'Glutathione S-transferase, C-terminal domain superfamily']"
GALC,"['IPR013785', 'IPR017853']","['Aldolase-type TIM barrel', 'Glycoside hydrolase superfamily']"
CHRDL1,,
NAGLU,"['IPR017853', 'IPR029018']","['Glycoside hydrolase superfamily', 'Beta-hexosaminidase-like, domain 2']"
ALPK1,['IPR011009'],['Protein kinase-like domain superfamily']
FCAMR,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
RTN4IP1,"['IPR011032', 'IPR036291']","['GroES-like superfamily', 'NAD(P)-binding domain superfamily']"
TEP1,"['IPR027417', 'IPR036322', 'IPR037214']","['P-loop containing nucleoside triphosphate hydrolase', 'WD40-repeat-containing domain superfamily', 'TROVE domain superfamily']"
CTPS1,"['IPR027417', 'IPR029062']","['P-loop containing nucleoside triphosphate hydrolase', 'Class I glutamine amidotransferase-like']"
ENG,,
GTF2B,['IPR036915'],['Cyclin-like superfamily']
MYOC,,
NUBP2,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
GOLGA6B,,
PTGDR2,,
GPR45,,
,['IPR029071'],['Ubiquitin-like domain superfamily']
IGFBPL1,"['IPR009030', 'IPR013783', 'IPR036058', 'IPR036179']","['Growth factor receptor cysteine-rich domain superfamily', 'Immunoglobulin-like fold', 'Kazal domain superfamily', 'Immunoglobulin-like domain superfamily']"
FLVCR1,['IPR036259'],['MFS transporter superfamily']
PRM2,,
F11R,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
MYH4,"['IPR008989', 'IPR027401', 'IPR027417', 'IPR036961']","['Myosin S1 fragment, N-terminal', 'Myosin IQ motif-containing domain superfamily', 'P-loop containing nucleoside triphosphate hydrolase', 'Kinesin motor domain superfamily']"
MAFB,['IPR008917'],"['Transcription factor, Skn-1-like, DNA-binding domain superfamily']"
FAM186A,,
BTBD17,['IPR011333'],['SKP1/BTB/POZ domain superfamily']
FADS3,['IPR036400'],['Cytochrome b5-like heme/steroid binding domain superfamily']
RAD54B,['IPR038718'],"['SNF2-like, N-terminal domain superfamily']"
GTF3C3,['IPR011990'],['Tetratricopeptide-like helical domain superfamily']
DHRS4,['IPR036291'],['NAD(P)-binding domain superfamily']
ERVK-9,,
INSL5,['IPR036438'],['Insulin-like superfamily']
TMEM161A,,
GPC6,,
OXSM,['IPR016039'],['Thiolase-like']
CORIN,"['IPR009003', 'IPR036055', 'IPR036772', 'IPR036790', 'IPR043504']","['Peptidase S1, PA clan', 'LDL receptor-like superfamily', 'SRCR-like domain superfamily', 'Frizzled cysteine-rich domain superfamily', 'Peptidase S1, PA clan, chymotrypsin-like fold']"
GTF3C5,['IPR042536'],"['TFIIIC, subcomplex tauA subunit Sfc1, triple barrel domain superfamily']"
IMPAD1,['IPR042536'],"['TFIIIC, subcomplex tauA subunit Sfc1, triple barrel domain superfamily']"
GID8,,
CHCHD3,,
MRPL22,['IPR036394'],['Ribosomal protein L22/L17 superfamily']
ZSCAN32,"['IPR036051', 'IPR038269']","['KRAB domain superfamily', 'SCAN domain superfamily']"
C2orf76,,
OR1F2P,,
LRRD1,['IPR032675'],['Leucine-rich repeat domain superfamily']
MC1R,,
METTL23,,
NPIPA3,,
MMP24,"['IPR024079', 'IPR036365', 'IPR036375']","['Metallopeptidase, catalytic domain superfamily', 'PGBD-like superfamily', 'Hemopexin-like domain superfamily']"
DMRT2,['IPR036407'],['DM DNA-binding domain superfamily']
HEMK1,['IPR029063'],['S-adenosyl-L-methionine-dependent methyltransferase']
HGH1,"['IPR011989', 'IPR016024']","['Armadillo-like helical', 'Armadillo-type fold']"
CDC42EP3,,
ALDH1B1,"['IPR016161', 'IPR016162', 'IPR016163']","['Aldehyde/histidinol dehydrogenase', 'Aldehyde dehydrogenase, N-terminal', 'Aldehyde dehydrogenase, C-terminal']"
FUCA2,"['IPR013780', 'IPR017853']","['Glycosyl hydrolase, all-beta', 'Glycoside hydrolase superfamily']"
C19orf54,"['IPR013780', 'IPR017853']","['Glycosyl hydrolase, all-beta', 'Glycoside hydrolase superfamily']"
SLC45A4,['IPR036259'],['MFS transporter superfamily']
ZNF804B,,
VPREB3,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
MED29,,
DMRT1,['IPR036407'],['DM DNA-binding domain superfamily']
POU2F3,"['IPR009057', 'IPR010982']","['Homeobox-like domain superfamily', 'Lambda repressor-like, DNA-binding domain superfamily']"
TLK1,['IPR011009'],['Protein kinase-like domain superfamily']
NPTN,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
C1orf123,,
TRAPPC1,['IPR011012'],['Longin-like domain superfamily']
DUS2,['IPR013785'],['Aldolase-type TIM barrel']
CAVIN4,,
CMTM6,,
ERVK13-1,,
TMEM260,,
GTPBP10,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
