pharos_index,AccessionKeys,Gene_Name,novelty,monoclonalCount,antibodyCount,ppiCount,hpm_prot_spec,hpm_gene_spec,hpa_RNA_spec,hpa_prot_spec,GTEx_spec,uniprot_seq_len,idgTDL
21,Q86XE0,SNX32,0.350248018,3.0,89.0,9.0,0.631034,0.631034,0.9972219999999999,,0.8875,403,Tdark
22,P16581,SELE,-3.4492581369999997,569.0,919.0,6.0,0.9758620000000001,0.9758620000000001,0.9305559999999999,0.98,0.916667,610,Tchem
23,Q9UL62,TRPC5,-2.2500226480000003,112.0,220.0,3.0,0.937931,0.937931,0.9972219999999999,,0.90625,973,Tchem
24,A4D1S0,KLRG2,-0.066946788,0.0,58.0,39.0,0.937931,0.937931,0.91358,,0.9625,409,Tdark
25,Q9UKU0,ACSL6,-1.867488646,1.0,139.0,,0.503448,0.503448,0.95,0.791667,0.883333,697,Tbio
26,A8MVS1,ZNF705F,,0.0,0.0,,,,,,,300,Tdark
27,Q9UKU6,TRHDE,-1.629099604,0.0,51.0,12.0,0.882759,0.882759,0.825,,0.885417,1024,Tbio
28,P40205,MYCNOS,,0.0,0.0,,,,,,,109,Tdark
29,Q86XE5,HOGA1,-1.3754857580000002,0.0,7.0,1.0,0.882759,0.8620690000000001,0.9972219999999999,0.831111,0.947917,327,Tbio
30,Q9UL63,MKLN1,-1.0845124179999999,1.0,102.0,,0.806897,0.768966,0.5388890000000001,0.493151,0.60625,735,Tbio
31,Q496F6,CD300E,-0.9492156840000001,79.0,140.0,5.0,1.0,1.0,0.95,,0.985417,205,Tbio
32,Q9NXC2,GFOD1,0.246672333,3.0,29.0,18.0,0.9,0.806897,0.841667,,0.814583,390,Tdark
33,Q8WXB1,METTL21A,-0.161368004,39.0,89.0,4.0,0.996552,0.996552,0.488889,,0.48125,218,Tbio
34,Q9UKU9,ANGPTL2,-1.7975263959999999,42.0,185.0,2.0,0.693103,0.693103,0.797222,0.753378,0.835417,493,Tbio
35,P30874,SSTR2,-2.539359203,45.0,246.0,,0.996552,0.996552,0.980556,,0.947917,369,Tclin
36,Q9UL68,MYT1L,-1.4940653369999999,14.0,40.0,,0.9137930000000001,0.9137930000000001,1.0,,0.8875,1186,Tbio
37,Q9UKU7,ACAD8,-1.147836876,1.0,150.0,,0.503448,0.503448,0.594444,0.366197,0.470833,415,Tbio
38,P30876,POLR2B,-2.497297095,0.0,149.0,,0.482759,0.482759,0.508333,0.344907,0.585417,1174,Tbio
39,Q9NXC5,MIOS,-1.4486394319999998,3.0,21.0,,0.558621,0.558621,0.5388890000000001,0.5,0.71875,875,Tdark
40,P52209,PGD,-2.566830435,29.0,211.0,,0.465517,0.465517,0.8472219999999999,0.594595,0.90625,483,Tchem
41,P53539,FOSB,-2.662856341,112.0,328.0,1.0,0.996552,0.9137930000000001,0.827778,0.854167,0.947917,338,Tbio
42,Q8WXB4,ZNF606,-0.096910013,3.0,101.0,,0.482759,0.482759,0.591667,,0.63125,792,Tdark
43,P54868,HMGCS2,-1.742786681,12.0,126.0,,0.631034,0.627586,0.966667,0.853333,0.997917,508,Tbio
44,P15259,PGAM2,-1.555534861,70.0,191.0,3.0,0.465517,0.465517,0.9972219999999999,0.9726030000000001,,253,Tbio
45,P30872,SSTR1,-2.1426530269999997,13.0,303.0,,1.0,1.0,0.95,0.7716890000000001,0.860417,391,Tclin
46,A6NDD5,SYNDIG1L,-0.557640847,0.0,6.0,,0.8620690000000001,0.8620690000000001,1.0,,0.985417,238,Tdark
47,P42857,NSG1,-1.152652319,38.0,182.0,,1.0,1.0,,,,185,Tbio
48,Q96QZ7,MAGI1,-1.085866423,67.0,153.0,,0.482759,0.482759,0.633333,0.75,0.654167,1491,Tbio
49,P42858,HTT,-3.362820592,375.0,599.0,,0.465517,0.465517,0.530556,0.568889,0.539583,3142,Tchem
50,Q8WXA9,SREK1,-0.530946363,8.0,51.0,3.0,0.534483,0.534483,0.536111,0.346667,0.654167,508,Tbio
51,P39210,MPV17,-1.6780686759999999,2.0,134.0,1.0,0.534483,0.534483,0.5388890000000001,,0.527083,176,Tbio
52,P16591,FER,-1.8630740630000002,73.0,414.0,,0.5965520000000001,0.5965520000000001,0.672222,0.188356,0.65625,822,Tchem
53,P15260,IFNGR1,-2.230086784,221.0,518.0,10.0,0.9137930000000001,0.9137930000000001,0.5388890000000001,1.0,0.6875,489,Tbio
54,Q9UKV3,ACIN1,-1.519867389,14.0,429.0,,0.482759,0.482759,0.508333,0.373874,0.641667,1341,Tbio
55,Q86XD8,ZFAND4,-0.40936947,2.0,28.0,2.0,,,1.0,,0.997917,727,Tdark
56,Q9UKV0,HDAC9,-2.273089497,68.0,431.0,,0.996552,0.9758620000000001,0.7,,0.733333,1011,Tclin
57,Q86XD5,FAM131B,0.10720997,3.0,27.0,28.0,0.9758620000000001,0.9758620000000001,1.0,,0.9625,332,Tdark
58,Q9UKV5,AMFR,-2.469093707,10.0,203.0,,0.7241380000000001,0.7241380000000001,0.5388890000000001,0.42342299999999994,0.491667,643,Tbio
59,Q9NXD2,MTMR10,0.098636832,0.0,25.0,1.0,0.710345,0.710345,0.491667,0.583333,0.585417,777,Tdark
60,A4D1P6,WDR91,-0.7290297370000001,2.0,54.0,,0.465517,0.465517,0.608333,,0.654167,747,Tbio
61,Q9UKV8,AGO2,-2.9724302419999997,44.0,202.0,6.0,0.482759,0.482759,0.502778,0.340183,0.75625,859,Tbio
62,Q5BKY1,LRRC10,-0.931118711,3.0,42.0,5.0,0.844828,0.844828,1.0,,0.997917,277,Tdark
63,Q5BKY6,,,0.0,0.0,,,,,,,102,Tdark
64,Q8WXA8,HTR3C,-0.689306135,0.0,78.0,40.0,,,0.9972219999999999,,0.997917,447,Tchem
65,Q8WXA3,RUFY2,0.100370545,0.0,37.0,2.0,0.52069,0.52069,0.675,0.428241,0.775,655,Tbio
66,Q6YI46,TMEM64,-0.22184875,2.0,9.0,,0.958621,0.52069,0.9972219999999999,,0.654167,380,Tdark
67,Q96QZ0,PANX3,-1.664653245,2.0,71.0,,,,0.9972219999999999,,0.9625,392,Tbio
68,Q5BKY9,FAM133B,0.397940009,0.0,26.0,,0.882759,0.882759,0.508333,,0.539583,247,Tdark
69,Q8WXA2,PATE1,-1.5186601519999998,0.0,51.0,50.0,1.0,1.0,1.0,,0.985417,126,Tbio
70,Q9Y6A1,POMT1,-1.573716356,2.0,123.0,,0.9758620000000001,0.9758620000000001,0.597222,,0.641667,747,Tbio
71,A6NDE4,RBMY1B,,0.0,2.0,,0.9758620000000001,0.9758620000000001,1.0,0.961039,0.0,496,Tbio
72,P16562,CRISP2,-1.59405035,2.0,158.0,5.0,0.9758620000000001,0.9758620000000001,1.0,0.95,1.0,243,Tbio
73,Q9Y6A2,CYP46A1,-1.848560276,55.0,197.0,,0.937931,0.937931,1.0,,0.90625,500,Tbio
74,A6NDE8,GAGE12H,,0.0,49.0,,1.0,1.0,1.0,0.9700850000000001,0.0,117,Tdark
75,Q9Y6A9,SPCS1,-0.80899824,2.0,44.0,,0.52069,0.52069,0.47222200000000003,0.510563,0.470833,102,Tdark
76,Q9UKW4,VAV3,-1.821159402,11.0,249.0,4.0,0.806897,0.710345,0.9055559999999999,,0.939583,847,Tbio
77,A8MVU1,NCF1C,,0.0,0.0,,,,,,,366,Tdark
78,Q9Y6A5,TACC3,-1.996173832,111.0,222.0,,0.710345,0.710345,0.9305559999999999,0.702222,0.975,838,Tbio
79,Q9Y6A4,CFAP20,-1.788033596,9.0,88.0,12.0,0.503448,,0.505556,,0.516667,193,Tbio
80,Q9UKW6,ELF5,-1.728394881,11.0,200.0,,1.0,1.0,0.980556,,1.0,265,Tbio
81,Q496H8,NRN1L,0.6989700040000001,2.0,71.0,1.0,,,0.632716,,0.7,165,Tdark
82,P54886,ALDH18A1,-2.342599909,10.0,146.0,,0.482759,0.482759,0.625,0.689189,0.791667,795,Tbio
83,Q9NXE4,SMPD4,-0.896775474,0.0,66.0,,0.558621,0.558621,0.516667,0.777778,0.60625,827,Tbio
84,Q9NXE8,CWC25,-0.712219761,2.0,18.0,,0.727586,0.727586,0.5444439999999999,0.208889,,425,Tdark
85,Q13702,RAPSN,-2.099019829,33.0,134.0,,0.9758620000000001,0.958621,1.0,1.0,1.0,412,Tbio
86,Q5BKZ1,ZNF326,-0.42207368700000003,1.0,120.0,,0.693103,0.5965520000000001,0.508333,0.583333,0.527083,582,Tbio
87,Q86XA9,HEATR5A,,0.0,5.0,,0.693103,0.693103,0.508333,,0.527083,2040,Tdark
88,A8MVS5,C19orf38,,0.0,57.0,,0.958621,0.958621,0.966667,,0.985417,230,Tdark
89,Q13705,ACVR2B,-2.143213731,38.0,303.0,24.0,,,0.7305560000000001,0.7927930000000001,0.71875,512,Tchem
90,Q9Y6B2,EID1,-1.907692096,8.0,100.0,10.0,,,0.547222,0.412037,0.585417,187,Tbio
91,Q9UKX5,ITGA11,-1.137355168,3.0,76.0,,0.6724140000000001,0.6724140000000001,0.95,,0.975,1188,Tbio
92,Q9UKX3,MYH13,-1.260787898,0.0,12.0,,0.465517,0.465517,0.9444440000000001,,0.9625,1938,Tbio
93,Q9UKX2,MYH2,-2.1412811830000003,25.0,63.0,,0.465517,0.465517,1.0,0.951111,1.0,1941,Tbio
94,P27216,ANXA13,-1.194580435,2.0,162.0,,0.503448,0.503448,0.966667,0.922222,1.0,316,Tbio
95,Q9Y6B6,SAR1B,-1.9105053669999998,30.0,184.0,,0.465517,0.465517,0.5388890000000001,0.46713599999999994,0.48125,198,Tbio
96,Q9NXF1,TEX10,-0.59959719,2.0,21.0,2.0,0.6724140000000001,0.6724140000000001,0.613889,,0.660417,929,Tdark
97,Q9UKX7,NUP50,-1.184454792,60.0,270.0,27.0,0.534483,0.534483,0.516667,0.152968,0.654167,468,Tbio
98,Q05BV3,EML5,-0.472675205,0.0,28.0,,0.7241380000000001,0.7241380000000001,0.9305559999999999,,0.9625,1969,Tdark
99,Q9Y6B7,AP4B1,-0.792141435,41.0,124.0,3.0,0.882759,0.882759,0.516667,0.349099,0.61875,739,Tbio
100,P42830,CXCL5,-2.445508417,118.0,370.0,6.0,1.0,1.0,0.966667,0.9155409999999999,0.997917,114,Tbio
101,Q9UKP5,ADAMTS6,-0.673638512,0.0,40.0,,0.9,0.9,0.851852,0.986667,0.90625,1117,Tdark
102,Q9UL15,BAG5,-1.252873568,32.0,376.0,2.0,0.465517,0.465517,0.9972219999999999,0.99,0.75625,447,Tbio
103,Q96RA2,OR7D2,,1.0,2.0,,,,0.8125,,0.985417,312,Tdark
104,A4D1N5,,,0.0,0.0,,,,,,,150,Tdark
105,Q9UKP4,ADAMTS7,-1.437320845,0.0,98.0,,1.0,1.0,0.8138890000000001,,0.833333,1686,Tbio
106,Q8WXG6,MADD,-1.865554172,5.0,121.0,,0.710345,0.710345,0.672222,,0.90625,1647,Tbio
107,Q9Y5Y9,SCN10A,-3.1768976230000003,75.0,126.0,,,0.958621,1.0,,1.0,1956,Tclin
108,Q9UKP3,ITGB1BP2,-1.09897319,26.0,165.0,1.0,0.9137930000000001,0.9137930000000001,0.9305559999999999,,0.916667,347,Tbio
109,Q9UL12,SARDH,-1.782904726,0.0,35.0,,0.617241,0.617241,0.980556,0.493151,0.985417,918,Tbio
110,Q9UL19,RARRES3,-1.8401979780000002,17.0,164.0,,,,0.6444439999999999,,0.775,164,Tbio
111,Q8WXG1,RSAD2,-1.998826386,28.0,117.0,2.0,1.0,1.0,0.638889,0.627315,0.604167,361,Tbio
112,Q9Y5Y6,ST14,-2.5021501809999998,55.0,309.0,,0.810345,0.810345,0.8472219999999999,,0.929167,855,Tchem
113,Q9Y5Y5,PEX16,-1.435935856,5.0,78.0,,0.693103,0.693103,0.461111,0.425676,0.48125,336,Tbio
114,Q9UL18,AGO1,-2.223359825,50.0,203.0,19.0,0.465517,0.465517,0.505556,,0.516667,857,Tbio
115,Q9UL17,TBX21,-2.9535945910000003,254.0,480.0,,0.813793,0.813793,0.95,0.953333,0.975,535,Tbio
116,Q9UL16,CFAP45,-0.5597656679999999,0.0,116.0,1.0,0.655172,,0.9972219999999999,0.9578059999999999,0.997917,551,Tbio
117,Q9UKP6,UTS2R,-1.950943705,18.0,182.0,,,,0.980556,,0.985417,389,Tchem
118,Q9Y5Y7,LYVE1,-2.7718435510000003,167.0,586.0,1.0,0.768966,0.768966,0.9305559999999999,0.9527030000000001,0.885417,322,Tbio
119,Q8WXG9,ADGRV1,-2.512284835,0.0,64.0,,0.52069,,1.0,0.8344590000000001,0.916667,6306,Tbio
120,Q8WXG8,S100Z,-0.55433665,0.0,91.0,,,,0.873016,0.993151,0.985417,99,Tbio
121,Q86XI6,PPP1R3B,-2.4969696569999997,2.0,94.0,2.0,1.0,1.0,0.9305559999999999,0.552511,0.76875,285,Tbio
122,A6NDG6,PGP,-1.482944709,1.0,90.0,,0.465517,0.465517,0.622222,0.338095,0.929167,321,Tbio
123,Q86XI2,NCAPG2,-0.759567303,2.0,110.0,,0.810345,0.810345,0.7,0.326484,0.975,1143,Tbio
124,P54819,AK2,-2.000066018,36.0,330.0,,0.465517,0.465517,0.491667,0.497778,0.595833,239,Tbio
125,P15291,B4GALT1,-2.344535006,20.0,130.0,,0.655172,0.655172,0.5805560000000001,0.47973000000000005,0.6875,398,Tbio
126,A8MVW5,HEPACAM2,-0.861998791,0.0,109.0,24.0,1.0,1.0,0.966667,,0.975,462,Tbio
127,Q9Y5Z4,HEBP2,-1.059408516,3.0,114.0,,0.465517,0.465517,0.658333,0.533333,0.654167,205,Tbio
128,Q9UKQ2,ADAM28,-1.875266299,0.0,110.0,,0.958621,0.958621,0.9972219999999999,0.842342,0.939583,775,Tbio
129,Q05BU3,FAM86JP,,0.0,0.0,,,,,,,40,Tdark
130,A8MVW0,FAM171A2,,0.0,20.0,,0.882759,0.882759,0.966667,,0.90625,826,Tdark
131,Q9Y5Z0,BACE2,-2.09708974,4.0,418.0,,0.996552,0.996552,0.763889,0.891892,0.791667,518,Tchem
132,Q86XI8,ZSWIM9,,0.0,12.0,,,,0.5444439999999999,,0.604167,627,Tdark
133,Q9UL26,RAB22A,-1.4082397430000002,8.0,123.0,,0.465517,0.465517,0.5444439999999999,0.36888899999999997,0.502083,194,Tbio
134,Q8WXF5,CRYGN,-0.642554448,0.0,30.0,3.0,,,0.9972219999999999,,1.0,182,Tdark
135,Q9UL25,RAB21,-1.337150315,158.0,275.0,,0.465517,0.465517,0.477778,0.377778,0.516667,225,Tbio
136,Q8WXF3,RLN3,-1.8880841830000001,23.0,93.0,,,,0.9972219999999999,,0.997917,142,Tbio
137,Q8WXF0,SRSF12,-0.096910013,0.0,22.0,,0.57931,0.57931,0.9972219999999999,0.9871790000000001,0.916667,261,Tbio
138,Q9Y5Z7,HCFC2,-0.759667853,63.0,102.0,24.0,0.693103,0.693103,0.5611109999999999,0.585784,0.7,792,Tbio
139,Q9Y5Z6,B3GALT1,-0.6829612209999999,2.0,66.0,,,,0.966667,,0.860417,326,Tbio
140,Q9UKQ9,KLK9,-0.89029783,5.0,143.0,,,,0.966667,,0.985417,250,Tbio
141,Q8WXF1,PSPC1,-1.754154583,0.0,19.0,,0.465517,0.465517,0.536111,0.189498,0.504167,523,Tbio
142,Q13724,MOGS,-2.28289478,0.0,149.0,3.0,0.465517,0.465517,0.5388890000000001,0.52027,0.61875,837,Tbio
143,Q9Y5Z9,UBIAD1,-1.59892513,2.0,50.0,,0.8620690000000001,0.8620690000000001,0.491667,,0.516667,338,Tbio
144,P54826,GAS1,-2.042467416,21.0,144.0,1.0,0.8620690000000001,0.8620690000000001,0.8722219999999999,0.43981499999999996,0.885417,345,Tbio
145,Q9BUB7,TMEM70,-1.3622894769999998,3.0,93.0,16.0,0.768966,0.52069,0.491667,,0.504167,260,Tbio
146,Q8WXF8,DEDD2,-0.551149753,3.0,164.0,,1.0,1.0,0.597222,,0.60625,326,Tbio
147,P54821,PRRX1,-1.5847861859999999,131.0,304.0,,0.8620690000000001,0.8620690000000001,0.8444440000000001,,0.8875,245,Tbio
148,Q8WXF7,ATL1,-2.077953755,33.0,164.0,,0.482759,0.482759,0.9972219999999999,0.5427930000000001,0.847917,558,Tbio
149,P42898,MTHFR,-3.6844704669999997,45.0,275.0,,0.57931,0.57931,0.622222,,0.539583,656,Tbio
150,A6NDH6,OR5H15,,0.0,35.0,,,,0.0,,0.0,313,Tdark
151,Q86XH1,IQCA1,-0.8061799740000001,2.0,77.0,,0.996552,0.996552,0.95,,0.883333,822,Tbio
152,Q9BUB5,MKNK1,-1.7157565609999998,116.0,408.0,,0.937931,0.937931,0.48611099999999996,0.25463,0.60625,465,Tchem
153,Q9BUB4,ADAT1,-1.088136105,2.0,136.0,,0.996552,0.996552,0.5388890000000001,0.755708,0.63125,502,Tbio
154,P54829,PTPN5,-1.8541950130000002,49.0,225.0,,0.9758620000000001,0.9758620000000001,1.0,0.981735,0.9625,565,Tchem
155,P42892,ECE1,-2.563603565,30.0,278.0,,0.558621,0.558621,0.9055559999999999,0.373874,0.745833,770,Tchem
156,Q9UL33,TRAPPC2L,-0.180662825,0.0,35.0,,0.57931,0.57931,0.508333,0.48,0.516667,140,Tdark
157,Q9UKR3,KLK13,-1.25859192,56.0,201.0,2.0,1.0,1.0,1.0,0.9537040000000001,1.0,277,Tbio
158,P40238,MPL,-2.7430250239999996,46.0,186.0,1.0,0.996552,0.996552,0.8452379999999999,,0.833333,635,Tclin
159,P41567,EIF1,-2.063921272,21.0,92.0,,0.465517,0.465517,0.47222200000000003,,0.470833,113,Tbio
160,Q9UKR0,KLK12,-0.9969404270000001,7.0,111.0,,,,0.9972219999999999,,0.985417,248,Tbio
161,Q496J9,SV2C,-1.380548628,8.0,85.0,6.0,,0.9137930000000001,0.9972219999999999,0.966667,0.939583,727,Tbio
162,Q9UL36,ZNF236,-0.408159179,0.0,30.0,,0.6724140000000001,0.6724140000000001,0.633333,,0.527083,1845,Tbio
163,Q9UKR5,ERG28,-1.253314903,2.0,40.0,,0.534483,,0.625,0.694444,0.585417,140,Tdark
164,Q8WXE1,ATRIP,-1.6082776980000002,52.0,359.0,3.0,0.52069,0.52069,0.8722219999999999,0.340278,0.770833,791,Tbio
165,Q8WXE0,CASKIN2,-0.21449693,0.0,118.0,,0.627586,0.627586,0.661111,0.6,0.825,1202,Tdark
166,A8MW99,MEI4,,0.0,7.0,,,,0.980556,,0.947917,385,Tdark
167,Q13733,ATP1A4,-1.735664417,1.0,5.0,,0.465517,0.465517,0.966667,,1.0,1029,Tclin
168,Q9UKR8,TSPAN16,-1.9950499990000001,0.0,42.0,,1.0,1.0,1.0,0.986667,1.0,245,Tdark
169,Q8WXE9,STON2,-1.435852203,4.0,11.0,,0.937931,0.937931,0.875,0.293919,0.802083,905,Tbio
170,Q9BUA6,MYL10,-0.549207686,2.0,28.0,2.0,0.57931,0.57931,0.884259,,0.975,226,Tbio
171,P40222,TXLNA,-1.086823916,6.0,99.0,21.0,0.534483,0.534483,0.5194439999999999,0.196759,0.654167,546,Tbio
172,Q9BUA3,SPINDOC,0.602059991,0.0,29.0,1.0,0.57931,,0.736111,,0.71875,381,Tdark
173,Q496M5,PLK5,-0.606091194,0.0,119.0,,1.0,1.0,0.919444,0.954167,0.985417,336,Tbio
174,Q9UL40,ZNF346,-2.283925672,9.0,213.0,,0.768966,0.768966,0.541667,0.293333,0.572917,294,Tbio
175,A6NDI0,TRIM49B,0.0,0.0,3.0,,1.0,1.0,1.0,,1.0,452,Tdark
176,Q86XG9,NBPF5P,1.255272505,0.0,0.0,,,,,,,351,Tdark
177,P40227,CCT6A,-1.3988008730000001,0.0,90.0,,0.465517,0.465517,0.491667,0.340278,0.504167,531,Tbio
178,Q9UL42,PNMA2,-2.9278089439999997,17.0,113.0,,0.558621,0.558621,1.0,0.993243,0.929167,364,Tbio
179,P40225,THPO,-3.235510033,103.0,440.0,,,,0.9305559999999999,,0.90625,353,Tbio
180,Q9UL41,PNMA3,-1.88721073,26.0,105.0,,,0.748276,0.980556,0.954167,0.8875,463,Tbio
181,Q8WXD2,SCG3,-1.590721008,0.0,169.0,4.0,0.882759,0.810345,1.0,0.923423,0.883333,468,Tbio
182,Q9UKS7,IKZF2,-1.263243939,110.0,221.0,,0.9137930000000001,0.9137930000000001,0.766667,0.23515999999999998,0.997917,526,Tbio
183,Q9UKS6,PACSIN3,-0.6723854690000001,67.0,259.0,5.0,0.57931,0.57931,0.9055559999999999,0.530093,0.770833,424,Tbio
184,Q9UL46,PSME2,-1.474398745,44.0,305.0,,0.465517,0.465517,0.5805560000000001,,0.6875,239,Tbio
185,P54840,GYS2,-1.610765143,7.0,69.0,1.0,0.52069,0.52069,1.0,1.0,1.0,703,Tbio
186,Q8WXD0,RXFP2,-1.979134681,2.0,207.0,,0.9137930000000001,0.9137930000000001,0.939815,,0.9625,754,Tbio
187,Q9UL45,BLOC1S6,-1.8417141190000001,24.0,109.0,32.0,0.6724140000000001,0.6724140000000001,0.508333,0.110329,0.504167,172,Tbio
188,Q13740,ALCAM,-2.492971694,305.0,492.0,2.0,0.558621,0.558621,0.9305559999999999,0.592593,0.791667,583,Tbio
189,Q9UL49,TCFL5,-2.624468066,9.0,161.0,,0.806897,0.806897,0.9972219999999999,0.48611099999999996,0.916667,500,Tbio
190,Q9NXA8,SIRT5,-2.3601481,83.0,427.0,,0.482759,0.482759,0.475,0.542222,0.48125,310,Tchem
191,P54849,EMP1,-2.601190536,2.0,88.0,,,,0.9972219999999999,,0.9625,157,Tbio
192,Q8WXD9,CASKIN1,-0.631111286,0.0,22.0,,0.503448,0.503448,1.0,0.96,0.883333,1431,Tdark
193,Q13748,TUBA3C,-1.555741234,15.0,132.0,7.0,0.465517,0.465517,1.0,,1.0,450,Tchem
194,P54845,NRL,-2.460802165,2.0,74.0,,0.996552,0.996552,0.688272,1.0,0.677083,237,Tbio
195,Q8WXD5,GEMIN6,-1.289610968,22.0,110.0,6.0,0.806897,0.806897,0.5388890000000001,0.31756799999999996,0.60625,167,Tbio
196,P15289,ARSA,-2.503337373,74.0,337.0,4.0,0.52069,0.52069,0.5222220000000001,0.413333,0.595833,507,Tbio
197,Q86XF0,DHFR2,-0.374137095,9.0,82.0,30.0,0.8620690000000001,,0.536111,,0.572917,187,Tbio
198,Q9UL51,HCN2,-1.1671531720000001,61.0,162.0,,0.937931,0.937931,0.9972219999999999,,0.870833,889,Tclin
199,A8MW95,BECN2,,0.0,87.0,,,,0.0,,0.997917,431,Tbio
200,A8MVX0,ARHGEF33,1.0,0.0,51.0,,1.0,1.0,0.919444,1.0,0.985417,844,Tdark
201,Q9UKT5,FBXO4,-1.0708012409999998,18.0,225.0,7.0,0.786207,0.786207,0.513889,,0.641667,387,Tbio
202,Q9UL54,TAOK2,-1.524544705,39.0,154.0,,0.503448,0.465517,0.547222,0.711806,0.545833,1235,Tchem
203,Q9UKT4,FBXO5,-1.719932704,46.0,137.0,4.0,,,0.694444,0.49324300000000004,0.939583,447,Tbio
204,Q86XF7,ZNF575,,2.0,98.0,,0.9758620000000001,0.9758620000000001,0.611111,0.5844590000000001,0.572917,245,Tdark
205,A8MW92,PHF20L1,-0.441531774,13.0,94.0,14.0,0.937931,0.9137930000000001,0.502778,,0.527083,1017,Tdark
206,Q9UL52,TMPRSS11E,-0.903089987,3.0,126.0,,1.0,1.0,0.980556,,0.997917,423,Tbio
207,Q9BTV7,CABLES2,0.080902742,0.0,75.0,,0.996552,0.996552,1.0,,0.947917,478,Tdark
208,Q8J025,APCDD1,-0.898803496,4.0,137.0,5.0,0.958621,0.958621,0.8444440000000001,,0.916667,514,Tbio
209,Q9Y666,SLC12A7,-1.461017046,16.0,156.0,,0.558621,0.558621,0.733333,0.349315,0.658333,1083,Tbio
210,Q9BU76,C1orf35,0.0,0.0,39.0,,0.748276,0.748276,0.516667,0.347826,0.545833,263,Tdark
211,A3KMH1,VWA8,-0.367976784,0.0,8.0,,0.482759,0.482759,0.505556,,0.504167,1905,Tbio
212,Q9BTV6,DPH7,-0.859338473,1.0,76.0,3.0,0.57931,,0.536111,,0.63125,452,Tbio
213,Q9UKL0,RCOR1,-1.9677492159999999,0.0,0.0,2.0,0.6724140000000001,0.6724140000000001,0.536111,0.155251,0.658333,485,Tbio
214,Q9Y5U5,TNFRSF18,-2.341108498,433.0,604.0,1.0,1.0,1.0,0.966667,0.731618,0.939583,241,Tbio
215,Q9BTV5,FSD1,-1.3819669730000002,18.0,160.0,37.0,0.844828,0.844828,0.9972219999999999,0.9578059999999999,0.870833,496,Tbio
216,Q9Y5U8,MPC1,-1.770951507,1.0,96.0,2.0,0.503448,0.503448,0.8472219999999999,0.37619,0.48125,109,Tbio
217,Q9BTV4,TMEM43,-1.192704576,1.0,71.0,1.0,0.465517,0.465517,0.675,0.739726,0.76875,400,Tbio
218,Q9Y5U2,TSSC4,-0.424361831,3.0,34.0,37.0,0.6724140000000001,0.6724140000000001,0.5388890000000001,0.486486,0.595833,329,Tdark
