AccessionKeys,Gene_Name,novelty,idgTDL_Tbio,idgTDL_Tchem,idgTDL_Tclin,idgTDL_Tdark,monoclonalCount,antibodyCount,ppiCount,hpm_prot_spec,hpm_gene_spec,hpa_RNA_spec,hpa_prot_spec,GTEx_spec,uniprot_seq_len
Q86XE5,HOGA1,-1.375485758,1,0,0,0,0,7,1,0.882759,0.862069,0.997222,0.831111,0.947917,327
Q9UL63,MKLN1,-1.084512418,1,0,0,0,1,102,,0.806897,0.768966,0.538889,0.493151,0.60625,735
Q496F6,CD300E,-0.949215684,1,0,0,0,79,140,5,1,1,0.95,,0.985417,205
Q9NXC2,GFOD1,0.246672333,0,0,0,1,3,29,18,0.9,0.806897,0.841667,,0.814583,390
Q8WXB1,METTL21A,-0.161368004,1,0,0,0,39,89,4,0.996552,0.996552,0.488889,,0.48125,218
Q9UKU9,ANGPTL2,-1.797526396,1,0,0,0,42,185,2,0.693103,0.693103,0.797222,0.753378,0.835417,493
P30874,SSTR2,-2.539359203,0,0,1,0,45,246,,0.996552,0.996552,0.980556,,0.947917,369
Q9UL68,MYT1L,-1.494065337,1,0,0,0,14,40,,0.913793,0.913793,1,,0.8875,1186
Q9UKU7,ACAD8,-1.147836876,1,0,0,0,1,150,,0.503448,0.503448,0.594444,0.366197,0.470833,415
P30876,POLR2B,-2.497297095,1,0,0,0,0,149,,0.482759,0.482759,0.508333,0.344907,0.585417,1174
Q9NXC5,MIOS,-1.448639432,0,0,0,1,3,21,,0.558621,0.558621,0.538889,0.5,0.71875,875
P52209,PGD,-2.566830435,0,1,0,0,29,211,,0.465517,0.465517,0.847222,0.594595,0.90625,483
P53539,FOSB,-2.662856341,1,0,0,0,112,328,1,0.996552,0.913793,0.827778,0.854167,0.947917,338
Q8WXB4,ZNF606,-0.096910013,0,0,0,1,3,101,,0.482759,0.482759,0.591667,,0.63125,792
P54868,HMGCS2,-1.742786681,1,0,0,0,12,126,,0.631034,0.627586,0.966667,0.853333,0.997917,508
P15259,PGAM2,-1.555534861,1,0,0,0,70,191,3,0.465517,0.465517,0.997222,0.972603,,253
P30872,SSTR1,-2.142653027,0,0,1,0,13,303,,1,1,0.95,0.771689,0.860417,391
A6NDD5,SYNDIG1L,-0.557640847,0,0,0,1,0,6,,0.862069,0.862069,1,,0.985417,238
P42857,NSG1,-1.152652319,1,0,0,0,38,182,,1,1,,,,185
Q96QZ7,MAGI1,-1.085866423,1,0,0,0,67,153,,0.482759,0.482759,0.633333,0.75,0.654167,1491
P42858,HTT,-3.362820592,0,1,0,0,375,599,,0.465517,0.465517,0.530556,0.568889,0.539583,3142
Q8WXA9,SREK1,-0.530946363,1,0,0,0,8,51,3,0.534483,0.534483,0.536111,0.346667,0.654167,508
P39210,MPV17,-1.678068676,1,0,0,0,2,134,1,0.534483,0.534483,0.538889,,0.527083,176
P16591,FER,-1.863074063,0,1,0,0,73,414,,0.596552,0.596552,0.672222,0.188356,0.65625,822
P15260,IFNGR1,-2.230086784,1,0,0,0,221,518,10,0.913793,0.913793,0.538889,1,0.6875,489
Q9UKV3,ACIN1,-1.519867389,1,0,0,0,14,429,,0.482759,0.482759,0.508333,0.373874,0.641667,1341
Q86XD8,ZFAND4,-0.40936947,0,0,0,1,2,28,2,,,1,,0.997917,727
Q9UKV0,HDAC9,-2.273089497,0,0,1,0,68,431,,0.996552,0.975862,0.7,,0.733333,1011
Q86XD5,FAM131B,0.10720997,0,0,0,1,3,27,28,0.975862,0.975862,1,,0.9625,332
Q9UKV5,AMFR,-2.469093707,1,0,0,0,10,203,,0.724138,0.724138,0.538889,0.423423,0.491667,643
Q9NXD2,MTMR10,0.098636832,0,0,0,1,0,25,1,0.710345,0.710345,0.491667,0.583333,0.585417,777
A4D1P6,WDR91,-0.729029737,1,0,0,0,2,54,,0.465517,0.465517,0.608333,,0.654167,747
Q9UKV8,AGO2,-2.972430242,1,0,0,0,44,202,6,0.482759,0.482759,0.502778,0.340183,0.75625,859
Q5BKY1,LRRC10,-0.931118711,0,0,0,1,3,42,5,0.844828,0.844828,1,,0.997917,277
Q5BKY6,,,0,0,0,1,0,0,,,,,,,102
Q8WXA8,HTR3C,-0.689306135,0,1,0,0,0,78,40,,,0.997222,,0.997917,447
Q8WXA3,RUFY2,0.100370545,1,0,0,0,0,37,2,0.52069,0.52069,0.675,0.428241,0.775,655
Q6YI46,TMEM64,-0.22184875,0,0,0,1,2,9,,0.958621,0.52069,0.997222,,0.654167,380
Q96QZ0,PANX3,-1.664653245,1,0,0,0,2,71,,,,0.997222,,0.9625,392
Q5BKY9,FAM133B,0.397940009,0,0,0,1,0,26,,0.882759,0.882759,0.508333,,0.539583,247
Q8WXA2,PATE1,-1.518660152,1,0,0,0,0,51,50,1,1,1,,0.985417,126
Q9Y6A1,POMT1,-1.573716356,1,0,0,0,2,123,,0.975862,0.975862,0.597222,,0.641667,747
A6NDE4,RBMY1B,,1,0,0,0,0,2,,0.975862,0.975862,1,0.961039,0,496
P16562,CRISP2,-1.59405035,1,0,0,0,2,158,5,0.975862,0.975862,1,0.95,1,243
Q9Y6A2,CYP46A1,-1.848560276,1,0,0,0,55,197,,0.937931,0.937931,1,,0.90625,500
A6NDE8,GAGE12H,,0,0,0,1,0,49,,1,1,1,0.970085,0,117
Q9Y6A9,SPCS1,-0.80899824,0,0,0,1,2,44,,0.52069,0.52069,0.472222,0.510563,0.470833,102
Q9UKW4,VAV3,-1.821159402,1,0,0,0,11,249,4,0.806897,0.710345,0.905556,,0.939583,847
A8MVU1,NCF1C,,0,0,0,1,0,0,,,,,,,366
Q9Y6A5,TACC3,-1.996173832,1,0,0,0,111,222,,0.710345,0.710345,0.930556,0.702222,0.975,838
Q9Y6A4,CFAP20,-1.788033596,1,0,0,0,9,88,12,0.503448,,0.505556,,0.516667,193
Q9UKW6,ELF5,-1.728394881,1,0,0,0,11,200,,1,1,0.980556,,1,265
Q496H8,NRN1L,0.698970004,0,0,0,1,2,71,1,,,0.632716,,0.7,165
P54886,ALDH18A1,-2.342599909,1,0,0,0,10,146,,0.482759,0.482759,0.625,0.689189,0.791667,795
Q9NXE4,SMPD4,-0.896775474,1,0,0,0,0,66,,0.558621,0.558621,0.516667,0.777778,0.60625,827
Q9NXE8,CWC25,-0.712219761,0,0,0,1,2,18,,0.727586,0.727586,0.544444,0.208889,,425
Q13702,RAPSN,-2.099019829,1,0,0,0,33,134,,0.975862,0.958621,1,1,1,412
Q5BKZ1,ZNF326,-0.422073687,1,0,0,0,1,120,,0.693103,0.596552,0.508333,0.583333,0.527083,582
Q86XA9,HEATR5A,,0,0,0,1,0,5,,0.693103,0.693103,0.508333,,0.527083,2040
A8MVS5,C19orf38,,0,0,0,1,0,57,,0.958621,0.958621,0.966667,,0.985417,230
Q13705,ACVR2B,-2.143213731,0,1,0,0,38,303,24,,,0.730556,0.792793,0.71875,512
Q9Y6B2,EID1,-1.907692096,1,0,0,0,8,100,10,,,0.547222,0.412037,0.585417,187
Q9UKX5,ITGA11,-1.137355168,1,0,0,0,3,76,,0.672414,0.672414,0.95,,0.975,1188
Q9UKX3,MYH13,-1.260787898,1,0,0,0,0,12,,0.465517,0.465517,0.944444,,0.9625,1938
Q9UKX2,MYH2,-2.141281183,1,0,0,0,25,63,,0.465517,0.465517,1,0.951111,1,1941
P27216,ANXA13,-1.194580435,1,0,0,0,2,162,,0.503448,0.503448,0.966667,0.922222,1,316
Q9Y6B6,SAR1B,-1.910505367,1,0,0,0,30,184,,0.465517,0.465517,0.538889,0.467136,0.48125,198
Q9NXF1,TEX10,-0.59959719,0,0,0,1,2,21,2,0.672414,0.672414,0.613889,,0.660417,929
Q9UKX7,NUP50,-1.184454792,1,0,0,0,60,270,27,0.534483,0.534483,0.516667,0.152968,0.654167,468
Q05BV3,EML5,-0.472675205,0,0,0,1,0,28,,0.724138,0.724138,0.930556,,0.9625,1969
Q9Y6B7,AP4B1,-0.792141435,1,0,0,0,41,124,3,0.882759,0.882759,0.516667,0.349099,0.61875,739
P42830,CXCL5,-2.445508417,1,0,0,0,118,370,6,1,1,0.966667,0.915541,0.997917,114
Q9UKP5,ADAMTS6,-0.673638512,0,0,0,1,0,40,,0.9,0.9,0.851852,0.986667,0.90625,1117
Q9UL15,BAG5,-1.252873568,1,0,0,0,32,376,2,0.465517,0.465517,0.997222,0.99,0.75625,447
Q96RA2,OR7D2,,0,0,0,1,1,2,,,,0.8125,,0.985417,312
A4D1N5,,,0,0,0,1,0,0,,,,,,,150
Q9UKP4,ADAMTS7,-1.437320845,1,0,0,0,0,98,,1,1,0.813889,,0.833333,1686
Q8WXG6,MADD,-1.865554172,1,0,0,0,5,121,,0.710345,0.710345,0.672222,,0.90625,1647
Q9Y5Y9,SCN10A,-3.176897623,0,0,1,0,75,126,,,0.958621,1,,1,1956
Q9UKP3,ITGB1BP2,-1.09897319,1,0,0,0,26,165,1,0.913793,0.913793,0.930556,,0.916667,347
Q9UL12,SARDH,-1.782904726,1,0,0,0,0,35,,0.617241,0.617241,0.980556,0.493151,0.985417,918
Q9UL19,RARRES3,-1.840197978,1,0,0,0,17,164,,,,0.644444,,0.775,164
Q8WXG1,RSAD2,-1.998826386,1,0,0,0,28,117,2,1,1,0.638889,0.627315,0.604167,361
Q9Y5Y6,ST14,-2.502150181,0,1,0,0,55,309,,0.810345,0.810345,0.847222,,0.929167,855
Q9Y5Y5,PEX16,-1.435935856,1,0,0,0,5,78,,0.693103,0.693103,0.461111,0.425676,0.48125,336
Q9UL18,AGO1,-2.223359825,1,0,0,0,50,203,19,0.465517,0.465517,0.505556,,0.516667,857
Q9UL17,TBX21,-2.953594591,1,0,0,0,254,480,,0.813793,0.813793,0.95,0.953333,0.975,535
Q9UL16,CFAP45,-0.559765668,1,0,0,0,0,116,1,0.655172,,0.997222,0.957806,0.997917,551
Q9UKP6,UTS2R,-1.950943705,0,1,0,0,18,182,,,,0.980556,,0.985417,389
Q9Y5Y7,LYVE1,-2.771843551,1,0,0,0,167,586,1,0.768966,0.768966,0.930556,0.952703,0.885417,322
Q8WXG9,ADGRV1,-2.512284835,1,0,0,0,0,64,,0.52069,,1,0.834459,0.916667,6306
Q8WXG8,S100Z,-0.55433665,1,0,0,0,0,91,,,,0.873016,0.993151,0.985417,99
Q86XI6,PPP1R3B,-2.496969657,1,0,0,0,2,94,2,1,1,0.930556,0.552511,0.76875,285
A6NDG6,PGP,-1.482944709,1,0,0,0,1,90,,0.465517,0.465517,0.622222,0.338095,0.929167,321
Q86XI2,NCAPG2,-0.759567303,1,0,0,0,2,110,,0.810345,0.810345,0.7,0.326484,0.975,1143
P54819,AK2,-2.000066018,1,0,0,0,36,330,,0.465517,0.465517,0.491667,0.497778,0.595833,239
P15291,B4GALT1,-2.344535006,1,0,0,0,20,130,,0.655172,0.655172,0.580556,0.47973,0.6875,398
A8MVW5,HEPACAM2,-0.861998791,1,0,0,0,0,109,24,1,1,0.966667,,0.975,462
Q9Y5Z4,HEBP2,-1.059408516,1,0,0,0,3,114,,0.465517,0.465517,0.658333,0.533333,0.654167,205
Q9UKQ2,ADAM28,-1.875266299,1,0,0,0,0,110,,0.958621,0.958621,0.997222,0.842342,0.939583,775
Q05BU3,FAM86JP,,0,0,0,1,0,0,,,,,,,40
A8MVW0,FAM171A2,,0,0,0,1,0,20,,0.882759,0.882759,0.966667,,0.90625,826
Q9Y5Z0,BACE2,-2.09708974,0,1,0,0,4,418,,0.996552,0.996552,0.763889,0.891892,0.791667,518
Q86XI8,ZSWIM9,,0,0,0,1,0,12,,,,0.544444,,0.604167,627
Q9UL26,RAB22A,-1.408239743,1,0,0,0,8,123,,0.465517,0.465517,0.544444,0.368889,0.502083,194
Q8WXF5,CRYGN,-0.642554448,0,0,0,1,0,30,3,,,0.997222,,1,182
Q9UL25,RAB21,-1.337150315,1,0,0,0,158,275,,0.465517,0.465517,0.477778,0.377778,0.516667,225
Q8WXF3,RLN3,-1.888084183,1,0,0,0,23,93,,,,0.997222,,0.997917,142
Q8WXF0,SRSF12,-0.096910013,1,0,0,0,0,22,,0.57931,0.57931,0.997222,0.987179,0.916667,261
Q9Y5Z7,HCFC2,-0.759667853,1,0,0,0,63,102,24,0.693103,0.693103,0.561111,0.585784,0.7,792
Q9Y5Z6,B3GALT1,-0.682961221,1,0,0,0,2,66,,,,0.966667,,0.860417,326
Q9UKQ9,KLK9,-0.89029783,1,0,0,0,5,143,,,,0.966667,,0.985417,250
Q8WXF1,PSPC1,-1.754154583,1,0,0,0,0,19,,0.465517,0.465517,0.536111,0.189498,0.504167,523
Q13724,MOGS,-2.28289478,1,0,0,0,0,149,3,0.465517,0.465517,0.538889,0.52027,0.61875,837
Q9Y5Z9,UBIAD1,-1.59892513,1,0,0,0,2,50,,0.862069,0.862069,0.491667,,0.516667,338
P54826,GAS1,-2.042467416,1,0,0,0,21,144,1,0.862069,0.862069,0.872222,0.439815,0.885417,345
Q9BUB7,TMEM70,-1.362289477,1,0,0,0,3,93,16,0.768966,0.52069,0.491667,,0.504167,260
Q8WXF8,DEDD2,-0.551149753,1,0,0,0,3,164,,1,1,0.597222,,0.60625,326
P54821,PRRX1,-1.584786186,1,0,0,0,131,304,,0.862069,0.862069,0.844444,,0.8875,245
Q8WXF7,ATL1,-2.077953755,1,0,0,0,33,164,,0.482759,0.482759,0.997222,0.542793,0.847917,558
P42898,MTHFR,-3.684470467,1,0,0,0,45,275,,0.57931,0.57931,0.622222,,0.539583,656
A6NDH6,OR5H15,,0,0,0,1,0,35,,,,0,,0,313
Q86XH1,IQCA1,-0.806179974,1,0,0,0,2,77,,0.996552,0.996552,0.95,,0.883333,822
Q9BUB5,MKNK1,-1.715756561,0,1,0,0,116,408,,0.937931,0.937931,0.486111,0.25463,0.60625,465
Q9BUB4,ADAT1,-1.088136105,1,0,0,0,2,136,,0.996552,0.996552,0.538889,0.755708,0.63125,502
P54829,PTPN5,-1.854195013,0,1,0,0,49,225,,0.975862,0.975862,1,0.981735,0.9625,565
P42892,ECE1,-2.563603565,0,1,0,0,30,278,,0.558621,0.558621,0.905556,0.373874,0.745833,770
Q9UL33,TRAPPC2L,-0.180662825,0,0,0,1,0,35,,0.57931,0.57931,0.508333,0.48,0.516667,140
Q9UKR3,KLK13,-1.25859192,1,0,0,0,56,201,2,1,1,1,0.953704,1,277
P40238,MPL,-2.743025024,0,0,1,0,46,186,1,0.996552,0.996552,0.845238,,0.833333,635
P41567,EIF1,-2.063921272,1,0,0,0,21,92,,0.465517,0.465517,0.472222,,0.470833,113
Q9UKR0,KLK12,-0.996940427,1,0,0,0,7,111,,,,0.997222,,0.985417,248
Q496J9,SV2C,-1.380548628,1,0,0,0,8,85,6,,0.913793,0.997222,0.966667,0.939583,727
Q9UL36,ZNF236,-0.408159179,1,0,0,0,0,30,,0.672414,0.672414,0.633333,,0.527083,1845
Q9UKR5,ERG28,-1.253314903,0,0,0,1,2,40,,0.534483,,0.625,0.694444,0.585417,140
Q8WXE1,ATRIP,-1.608277698,1,0,0,0,52,359,3,0.52069,0.52069,0.872222,0.340278,0.770833,791
Q8WXE0,CASKIN2,-0.21449693,0,0,0,1,0,118,,0.627586,0.627586,0.661111,0.6,0.825,1202
A8MW99,MEI4,,0,0,0,1,0,7,,,,0.980556,,0.947917,385
Q13733,ATP1A4,-1.735664417,0,0,1,0,1,5,,0.465517,0.465517,0.966667,,1,1029
Q9UKR8,TSPAN16,-1.995049999,0,0,0,1,0,42,,1,1,1,0.986667,1,245
Q8WXE9,STON2,-1.435852203,1,0,0,0,4,11,,0.937931,0.937931,0.875,0.293919,0.802083,905
Q9BUA6,MYL10,-0.549207686,1,0,0,0,2,28,2,0.57931,0.57931,0.884259,,0.975,226
P40222,TXLNA,-1.086823916,1,0,0,0,6,99,21,0.534483,0.534483,0.519444,0.196759,0.654167,546
Q9BUA3,SPINDOC,0.602059991,0,0,0,1,0,29,1,0.57931,,0.736111,,0.71875,381
Q496M5,PLK5,-0.606091194,1,0,0,0,0,119,,1,1,0.919444,0.954167,0.985417,336
Q9UL40,ZNF346,-2.283925672,1,0,0,0,9,213,,0.768966,0.768966,0.541667,0.293333,0.572917,294
A6NDI0,TRIM49B,0,0,0,0,1,0,3,,1,1,1,,1,452
Q86XG9,NBPF5P,1.255272505,0,0,0,1,0,0,,,,,,,351
P40227,CCT6A,-1.398800873,1,0,0,0,0,90,,0.465517,0.465517,0.491667,0.340278,0.504167,531
Q9UL42,PNMA2,-2.927808944,1,0,0,0,17,113,,0.558621,0.558621,1,0.993243,0.929167,364
P40225,THPO,-3.235510033,1,0,0,0,103,440,,,,0.930556,,0.90625,353
Q9UL41,PNMA3,-1.88721073,1,0,0,0,26,105,,,0.748276,0.980556,0.954167,0.8875,463
Q8WXD2,SCG3,-1.590721008,1,0,0,0,0,169,4,0.882759,0.810345,1,0.923423,0.883333,468
Q9UKS7,IKZF2,-1.263243939,1,0,0,0,110,221,,0.913793,0.913793,0.766667,0.23516,0.997917,526
Q9UKS6,PACSIN3,-0.672385469,1,0,0,0,67,259,5,0.57931,0.57931,0.905556,0.530093,0.770833,424
Q9UL46,PSME2,-1.474398745,1,0,0,0,44,305,,0.465517,0.465517,0.580556,,0.6875,239
P54840,GYS2,-1.610765143,1,0,0,0,7,69,1,0.52069,0.52069,1,1,1,703
Q8WXD0,RXFP2,-1.979134681,1,0,0,0,2,207,,0.913793,0.913793,0.939815,,0.9625,754
Q9UL45,BLOC1S6,-1.841714119,1,0,0,0,24,109,32,0.672414,0.672414,0.508333,0.110329,0.504167,172
Q13740,ALCAM,-2.492971694,1,0,0,0,305,492,2,0.558621,0.558621,0.930556,0.592593,0.791667,583
Q9UL49,TCFL5,-2.624468066,1,0,0,0,9,161,,0.806897,0.806897,0.997222,0.486111,0.916667,500
Q9NXA8,SIRT5,-2.3601481,0,1,0,0,83,427,,0.482759,0.482759,0.475,0.542222,0.48125,310
P54849,EMP1,-2.601190536,1,0,0,0,2,88,,,,0.997222,,0.9625,157
Q8WXD9,CASKIN1,-0.631111286,0,0,0,1,0,22,,0.503448,0.503448,1,0.96,0.883333,1431
Q13748,TUBA3C,-1.555741234,0,1,0,0,15,132,7,0.465517,0.465517,1,,1,450
P54845,NRL,-2.460802165,1,0,0,0,2,74,,0.996552,0.996552,0.688272,1,0.677083,237
Q8WXD5,GEMIN6,-1.289610968,1,0,0,0,22,110,6,0.806897,0.806897,0.538889,0.317568,0.60625,167
P15289,ARSA,-2.503337373,1,0,0,0,74,337,4,0.52069,0.52069,0.522222,0.413333,0.595833,507
Q86XF0,DHFR2,-0.374137095,1,0,0,0,9,82,30,0.862069,,0.536111,,0.572917,187
Q9UL51,HCN2,-1.167153172,0,0,1,0,61,162,,0.937931,0.937931,0.997222,,0.870833,889
A8MW95,BECN2,,1,0,0,0,0,87,,,,0,,0.997917,431
A8MVX0,ARHGEF33,1,0,0,0,1,0,51,,1,1,0.919444,1,0.985417,844
Q9UKT5,FBXO4,-1.070801241,1,0,0,0,18,225,7,0.786207,0.786207,0.513889,,0.641667,387
Q9UL54,TAOK2,-1.524544705,0,1,0,0,39,154,,0.503448,0.465517,0.547222,0.711806,0.545833,1235
Q9UKT4,FBXO5,-1.719932704,1,0,0,0,46,137,4,,,0.694444,0.493243,0.939583,447
Q86XF7,ZNF575,,0,0,0,1,2,98,,0.975862,0.975862,0.611111,0.584459,0.572917,245
A8MW92,PHF20L1,-0.441531774,0,0,0,1,13,94,14,0.937931,0.913793,0.502778,,0.527083,1017
Q9UL52,TMPRSS11E,-0.903089987,1,0,0,0,3,126,,1,1,0.980556,,0.997917,423
Q9BTV7,CABLES2,0.080902742,0,0,0,1,0,75,,0.996552,0.996552,1,,0.947917,478
Q8J025,APCDD1,-0.898803496,1,0,0,0,4,137,5,0.958621,0.958621,0.844444,,0.916667,514
Q9Y666,SLC12A7,-1.461017046,1,0,0,0,16,156,,0.558621,0.558621,0.733333,0.349315,0.658333,1083
Q9BU76,C1orf35,0,0,0,0,1,0,39,,0.748276,0.748276,0.516667,0.347826,0.545833,263
A3KMH1,VWA8,-0.367976784,1,0,0,0,0,8,,0.482759,0.482759,0.505556,,0.504167,1905
Q9BTV6,DPH7,-0.859338473,1,0,0,0,1,76,3,0.57931,,0.536111,,0.63125,452
Q9UKL0,RCOR1,-1.967749216,1,0,0,0,0,0,2,0.672414,0.672414,0.536111,0.155251,0.658333,485
Q9Y5U5,TNFRSF18,-2.341108498,1,0,0,0,433,604,1,1,1,0.966667,0.731618,0.939583,241
Q9BTV5,FSD1,-1.381966973,1,0,0,0,18,160,37,0.844828,0.844828,0.997222,0.957806,0.870833,496
Q9Y5U8,MPC1,-1.770951507,1,0,0,0,1,96,2,0.503448,0.503448,0.847222,0.37619,0.48125,109
Q9BTV4,TMEM43,-1.192704576,1,0,0,0,1,71,1,0.465517,0.465517,0.675,0.739726,0.76875,400
Q9Y5U2,TSSC4,-0.424361831,0,0,0,1,3,34,37,0.672414,0.672414,0.538889,0.486486,0.595833,329
Q9Y662,HS3ST3B1,-0.739453034,1,0,0,0,0,27,4,0.975862,0.975862,0.898148,,0.947917,390
Q9Y661,HS3ST4,-0.458523401,0,0,0,1,10,18,,1,1,1,,0.929167,456
Q9UKL4,GJD2,-2.489330349,1,0,0,0,20,192,,1,1,0.997222,,0.975,321
Q9BU79,TMEM243,-0.187990481,0,0,0,1,0,16,,0.975862,0.975862,0.661111,,0.802083,118
Q9Y664,KPTN,-1.458752219,1,0,0,0,35,153,21,0.958621,0.958621,0.483333,0.128378,0.654167,436
Q9Y5U4,INSIG2,-1.945986716,1,0,0,0,1,78,,0.958621,0.958621,0.516667,,0.54375,225
Q9UKL3,CASP8AP2,,1,0,0,0,0,0,,0.882759,0.882759,,,,1982
Q9UKL2,OR52A1,0.176091259,0,0,0,1,2,92,,1,1,0,,0.985417,312
Q9Y663,HS3ST3A1,-0.797643681,1,0,0,0,2,32,,0.975862,0.975862,0.885802,,0.947917,406
Q8WWZ1,IL1F10,-1.381137032,1,0,0,0,45,104,8,0.958621,0.958621,0.997222,0.986667,0.997917,152
Q9UKL6,PCTP,-1.723535898,1,0,0,0,46,156,1,0.655172,0.617241,0.6,0.338028,0.7,214
Q9NWY4,HPF1,-0.124938737,1,0,0,0,0,46,1,0.596552,,0.508333,,0.516667,346
Q9Y5U9,IER3IP1,-2.473420376,1,0,0,0,1,18,4,0.465517,0.465517,0.472222,0.490868,0.539583,82
Q9BU70,TRMO,-0.367976784,1,0,0,0,3,127,3,0.975862,,0.536111,0.708333,0.527083,441
Q8WWY8,LIPH,-1.365822103,1,0,0,0,4,43,24,,,0.930556,0.715278,0.929167,451
Q96R45,OR2A7,,0,0,0,1,0,23,,0.996552,0.996552,0.811111,,0.883333,310
A6NDK9,GOLGA6C,,0,0,0,1,0,0,,0.9,0.9,1,0.975309,1,693
Q96R47,OR2A14,0.84509804,0,0,0,1,0,6,,1,1,0,,0.929167,310
Q8WWY6,MBD3L1,-0.754840982,1,0,0,0,22,93,19,,,0.997222,0.983122,1,194
Q5XKR9,FAM104B,,0,0,0,1,3,33,,0.975862,0.975862,0.672222,0.298122,0.504167,115
Q8WWY7,WFDC12,-0.929869518,1,0,0,0,0,54,,,,1,,0.997917,111
Q96QS6,PSKH2,,0,0,0,1,0,76,8,0.975862,0.975862,0.988889,,0.997917,385
Q96QS1,TSPAN32,-0.97139821,1,0,0,0,18,153,,0.996552,0.996552,0.95,,0.9625,320
Q5XKR4,OTP,-2.261301078,1,0,0,0,6,110,,0.958621,0.958621,0.972222,1,1,325
Q96QS3,ARX,-2.212549444,1,0,0,0,148,328,,0.768966,0.768966,1,,1,562
Q8WWY3,PRPF31,-1.843967221,1,0,0,0,9,216,11,0.482759,0.482759,0.491667,0.079812,0.48125,499
A1KZ92,PXDNL,-1.107530284,1,0,0,0,0,0,,0.862069,0.862069,0.980556,,0.985417,1463
Q9Y5V0,ZNF706,-0.821864068,0,0,0,1,0,32,1,0.786207,0.786207,0.472222,,0.516667,76
P29803,PDHA2,-1.119240184,1,0,0,0,2,89,1,0.465517,0.465517,1,0.995885,1,388
Q96R48,OR2A5,0.602059991,0,0,0,1,0,65,,1,1,0,,0.991667,311
Q9BTU6,PI4K2A,-2.880028577,1,0,0,0,9,146,15,0.534483,0.534483,0.519444,0.726667,0.504167,479
Q9Y676,MRPS18B,-0.677925453,0,0,0,1,2,45,47,0.503448,0.503448,0.477778,0.157658,0.470833,258
Q9BU64,CENPO,-0.67551763,1,0,0,0,2,124,5,,,0.638889,,0.60625,300
