entrez_gene_symbol,gene_long_name,category_sources,category
PDCD2,PROGRAMMED CELL DEATH 2,GO,PROTEASE
STK36,SERINE/THREONINE KINASE 36,"RussLampel,dGene,HingoraniCasas,HopkinsGroom",DRUGGABLE GENOME
STK36,SERINE/THREONINE KINASE 36,"dGene,GuideToPharmacologyGenes,GO",SERINE THREONINE KINASE
STK36,SERINE/THREONINE KINASE 36,"GuideToPharmacologyGenes,HopkinsGroom,GO",KINASE
STK36,SERINE/THREONINE KINASE 36,GO,TRANSCRIPTION FACTOR BINDING
PITPNC1,"PHOSPHATIDYLINOSITOL TRANSFER PROTEIN, CYTOPLASMIC 1",GO,TRANSPORTER
KLHL23,KELCH LIKE FAMILY MEMBER 23,HingoraniCasas,DRUGGABLE GENOME
FBLN1,FIBULIN 1,HingoraniCasas,DRUGGABLE GENOME
FBLN1,FIBULIN 1,GO,PROTEASE
VWA5A,VON WILLEBRAND FACTOR A DOMAIN CONTAINING 5A,RussLampel,DRUGGABLE GENOME
GPR151,G PROTEIN-COUPLED RECEPTOR 151,"dGene,HopkinsGroom,GO",G PROTEIN COUPLED RECEPTOR
GPR151,G PROTEIN-COUPLED RECEPTOR 151,"dGene,HopkinsGroom,RussLampel,HingoraniCasas",DRUGGABLE GENOME
MED18,MEDIATOR COMPLEX SUBUNIT 18,GO,TRANSCRIPTION FACTOR COMPLEX
ICAM4,INTERCELLULAR ADHESION MOLECULE 4 (LANDSTEINER-WIENER BLOOD GROUP),HingoraniCasas,DRUGGABLE GENOME
BRD2,BROMODOMAIN CONTAINING 2,dGene,SERINE THREONINE KINASE
BRD2,BROMODOMAIN CONTAINING 2,"dGene,HingoraniCasas",DRUGGABLE GENOME
BRD2,BROMODOMAIN CONTAINING 2,GuideToPharmacologyGenes,KINASE
CAB39,CALCIUM BINDING PROTEIN 39,GO,KINASE
CAB39,CALCIUM BINDING PROTEIN 39,GO,TRANSPORTER
CAB39,CALCIUM BINDING PROTEIN 39,GO,TUMOR SUPPRESSOR
CAB39,CALCIUM BINDING PROTEIN 39,GO,SERINE THREONINE KINASE
ALPK1,ALPHA KINASE 1,"dGene,GO,GuideToPharmacologyGenes",SERINE THREONINE KINASE
ALPK1,ALPHA KINASE 1,dGene,DRUGGABLE GENOME
ALPK1,ALPHA KINASE 1,"GO,GuideToPharmacologyGenes",KINASE
CLDN16,CLAUDIN 16,GO,TRANSPORTER
SLC12A7,SOLUTE CARRIER FAMILY 12 MEMBER 7,"RussLampel,HopkinsGroom,HingoraniCasas",DRUGGABLE GENOME
SLC12A7,SOLUTE CARRIER FAMILY 12 MEMBER 7,"GO,GuideToPharmacologyGenes",TRANSPORTER
RPL24,RIBOSOMAL PROTEIN L24,GO,TUMOR SUPPRESSOR
SIK1,SALT INDUCIBLE KINASE 1,"HopkinsGroom,RussLampel,dGene,HingoraniCasas",DRUGGABLE GENOME
SIK1,SALT INDUCIBLE KINASE 1,"HopkinsGroom,GO,GuideToPharmacologyGenes,GO",KINASE
SIK1,SALT INDUCIBLE KINASE 1,"dGene,GO,GuideToPharmacologyGenes,GO",SERINE THREONINE KINASE
SIK1,SALT INDUCIBLE KINASE 1,GO,TUMOR SUPPRESSOR
SIK1,SALT INDUCIBLE KINASE 1,GO,TRANSCRIPTION FACTOR BINDING
ITPR1,"INOSITOL 1,4,5-TRISPHOSPHATE RECEPTOR TYPE 1","BaderLabGenes,GuideToPharmacologyGenes,GO,HopkinsGroom",ION CHANNEL
ITPR1,"INOSITOL 1,4,5-TRISPHOSPHATE RECEPTOR TYPE 1","GuideToPharmacologyGenes,GO",TRANSPORTER
ITPR1,"INOSITOL 1,4,5-TRISPHOSPHATE RECEPTOR TYPE 1","RussLampel,HopkinsGroom,HingoraniCasas",DRUGGABLE GENOME
BBS7,BARDET-BIEDL SYNDROME 7,GO,TRANSCRIPTION FACTOR BINDING
CCL3L3,C-C MOTIF CHEMOKINE LIGAND 3 LIKE 3,HingoraniCasas,DRUGGABLE GENOME
FFAR1,FREE FATTY ACID RECEPTOR 1,"HopkinsGroom,dGene,GO",G PROTEIN COUPLED RECEPTOR
FFAR1,FREE FATTY ACID RECEPTOR 1,"HopkinsGroom,HingoraniCasas,RussLampel,dGene",DRUGGABLE GENOME
ABCA5,ATP BINDING CASSETTE SUBFAMILY A MEMBER 5,"GuideToPharmacologyGenes,GO",TRANSPORTER
ABCA5,ATP BINDING CASSETTE SUBFAMILY A MEMBER 5,"GuideToPharmacologyGenes,GO",ABC TRANSPORTER
ABCA5,ATP BINDING CASSETTE SUBFAMILY A MEMBER 5,RussLampel,DRUGGABLE GENOME
TRIM24,TRIPARTITE MOTIF CONTAINING 24,GO,TYROSINE KINASE
TRIM24,TRIPARTITE MOTIF CONTAINING 24,GO,KINASE
E2F1,E2F TRANSCRIPTION FACTOR 1,GO,TUMOR SUPPRESSOR
E2F1,E2F TRANSCRIPTION FACTOR 1,GO,TRANSCRIPTION FACTOR BINDING
E2F1,E2F TRANSCRIPTION FACTOR 1,GO,TRANSCRIPTION FACTOR COMPLEX
CX3CL1,C-X3-C MOTIF CHEMOKINE LIGAND 1,HingoraniCasas,DRUGGABLE GENOME
CX3CL1,C-X3-C MOTIF CHEMOKINE LIGAND 1,GO,CELL SURFACE
IGFBP4,INSULIN LIKE GROWTH FACTOR BINDING PROTEIN 4,HingoraniCasas,DRUGGABLE GENOME
PDGFD,PLATELET DERIVED GROWTH FACTOR D,GO,GROWTH FACTOR
PDGFD,PLATELET DERIVED GROWTH FACTOR D,GO,SERINE THREONINE KINASE
PDGFD,PLATELET DERIVED GROWTH FACTOR D,GO,KINASE
PDGFD,PLATELET DERIVED GROWTH FACTOR D,HingoraniCasas,DRUGGABLE GENOME
FAM89B,FAMILY WITH SEQUENCE SIMILARITY 89 MEMBER B,GO,CELL SURFACE
FAM89B,FAMILY WITH SEQUENCE SIMILARITY 89 MEMBER B,GO,TRANSCRIPTION FACTOR BINDING
KLHL10,KELCH LIKE FAMILY MEMBER 10,HingoraniCasas,DRUGGABLE GENOME
NGF,NERVE GROWTH FACTOR,GO,SERINE THREONINE KINASE
NGF,NERVE GROWTH FACTOR,GO,KINASE
NGF,NERVE GROWTH FACTOR,GO,PROTEASE INHIBITOR
NGF,NERVE GROWTH FACTOR,GO,PROTEASE
NGF,NERVE GROWTH FACTOR,GO,GROWTH FACTOR
NGF,NERVE GROWTH FACTOR,GO,NEUTRAL ZINC METALLOPEPTIDASE
NGF,NERVE GROWTH FACTOR,HingoraniCasas,DRUGGABLE GENOME
NOG,NOGGIN,HingoraniCasas,DRUGGABLE GENOME
SERINC2,SERINE INCORPORATOR 2,GO,TRANSPORTER
AKR1A1,ALDO-KETO REDUCTASE FAMILY 1 MEMBER A1,"HopkinsGroom,HingoraniCasas,RussLampel",DRUGGABLE GENOME
MTNR1A,MELATONIN RECEPTOR 1A,"GuideToPharmacologyGenes,HopkinsGroom,dGene,GO",G PROTEIN COUPLED RECEPTOR
MTNR1A,MELATONIN RECEPTOR 1A,"HopkinsGroom,HingoraniCasas,dGene,RussLampel",DRUGGABLE GENOME
ARTN,ARTEMIN,GO,GROWTH FACTOR
ARTN,ARTEMIN,HingoraniCasas,DRUGGABLE GENOME
HNRNPUL1,HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN U LIKE 1,HopkinsGroom,DRUGGABLE GENOME
HNRNPUL1,HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN U LIKE 1,HopkinsGroom,B30_2 SPRY DOMAIN
OR5K4,OLFACTORY RECEPTOR FAMILY 5 SUBFAMILY K MEMBER 4,"dGene,HopkinsGroom,GO",G PROTEIN COUPLED RECEPTOR
OR5K4,OLFACTORY RECEPTOR FAMILY 5 SUBFAMILY K MEMBER 4,"dGene,HopkinsGroom,RussLampel",DRUGGABLE GENOME
PHACTR2,PHOSPHATASE AND ACTIN REGULATOR 2,GO,PROTEIN PHOSPHATASE
C5,COMPLEMENT C5,GO,PROTEASE
C5,COMPLEMENT C5,GO,KINASE
C5,COMPLEMENT C5,GO,SERINE THREONINE KINASE
C5,COMPLEMENT C5,"GO,dGene",PROTEASE INHIBITOR
C5,COMPLEMENT C5,"dGene,HingoraniCasas",DRUGGABLE GENOME
MYH6,MYOSIN HEAVY CHAIN 6,GO,PROTEIN PHOSPHATASE
MYH6,MYOSIN HEAVY CHAIN 6,HingoraniCasas,DRUGGABLE GENOME
EHMT1,EUCHROMATIC HISTONE LYSINE METHYLTRANSFERASE 1,GO,HISTONE MODIFICATION
EHMT1,EUCHROMATIC HISTONE LYSINE METHYLTRANSFERASE 1,HingoraniCasas,DRUGGABLE GENOME
EHMT1,EUCHROMATIC HISTONE LYSINE METHYLTRANSFERASE 1,GuideToPharmacologyGenes,METHYL TRANSFERASE
CCL5,C-C MOTIF CHEMOKINE LIGAND 5,GO,TYROSINE KINASE
CCL5,C-C MOTIF CHEMOKINE LIGAND 5,GO,KINASE
CCL5,C-C MOTIF CHEMOKINE LIGAND 5,GO,PHOSPHOLIPASE
CCL5,C-C MOTIF CHEMOKINE LIGAND 5,HingoraniCasas,DRUGGABLE GENOME
TRPM3,TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL SUBFAMILY M MEMBER 3,"HingoraniCasas,RussLampel,HopkinsGroom",DRUGGABLE GENOME
TRPM3,TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL SUBFAMILY M MEMBER 3,"GO,GuideToPharmacologyGenes",TRANSPORTER
TRPM3,TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL SUBFAMILY M MEMBER 3,"GO,GuideToPharmacologyGenes,HopkinsGroom,BaderLabGenes",ION CHANNEL
NPC1L1,NPC1 LIKE INTRACELLULAR CHOLESTEROL TRANSPORTER 1,GO,DRUG RESISTANCE
NPC1L1,NPC1 LIKE INTRACELLULAR CHOLESTEROL TRANSPORTER 1,HingoraniCasas,DRUGGABLE GENOME
STK4,SERINE/THREONINE KINASE 4,"HopkinsGroom,HingoraniCasas,RussLampel,dGene",DRUGGABLE GENOME
STK4,SERINE/THREONINE KINASE 4,"HopkinsGroom,GO,GuideToPharmacologyGenes",KINASE
STK4,SERINE/THREONINE KINASE 4,"GO,dGene,GuideToPharmacologyGenes",SERINE THREONINE KINASE
STK4,SERINE/THREONINE KINASE 4,GO,TUMOR SUPPRESSOR
STK4,SERINE/THREONINE KINASE 4,GO,TRANSCRIPTION FACTOR BINDING
UTS2,UROTENSIN 2,GO,DRUG RESISTANCE
UTS2,UROTENSIN 2,GO,HORMONE ACTIVITY
UTS2,UROTENSIN 2,HingoraniCasas,DRUGGABLE GENOME
PEAK1,PSEUDOPODIUM ENRICHED ATYPICAL KINASE 1,dGene,SERINE THREONINE KINASE
PEAK1,PSEUDOPODIUM ENRICHED ATYPICAL KINASE 1,"dGene,HingoraniCasas,RussLampel",DRUGGABLE GENOME
PEAK1,PSEUDOPODIUM ENRICHED ATYPICAL KINASE 1,GO,TYROSINE KINASE
PEAK1,PSEUDOPODIUM ENRICHED ATYPICAL KINASE 1,GO,KINASE
SPDYE16,SPEEDY/RINGO CELL CYCLE REGULATOR FAMILY MEMBER E16,GO,KINASE
CKAP5,CYTOSKELETON ASSOCIATED PROTEIN 5,GO,TUMOR SUPPRESSOR
PTH,PARATHYROID HORMONE,GO,DRUG RESISTANCE
PTH,PARATHYROID HORMONE,GO,HORMONE ACTIVITY
PTH,PARATHYROID HORMONE,GO,PHOSPHOLIPASE
PTH,PARATHYROID HORMONE,HingoraniCasas,DRUGGABLE GENOME
SLC35B1,SOLUTE CARRIER FAMILY 35 MEMBER B1,"GuideToPharmacologyGenes,GO",TRANSPORTER
MYB,"MYB PROTO-ONCOGENE, TRANSCRIPTION FACTOR",GO,HISTONE MODIFICATION
SERPINB7,SERPIN FAMILY B MEMBER 7,"dGene,GO,HopkinsGroom",PROTEASE INHIBITOR
SERPINB7,SERPIN FAMILY B MEMBER 7,"dGene,RussLampel,HopkinsGroom,HingoraniCasas",DRUGGABLE GENOME
SERPINB7,SERPIN FAMILY B MEMBER 7,GO,PROTEASE
DAP,DEATH ASSOCIATED PROTEIN,GO,PROTEASE
CYP20A1,CYTOCHROME P450 FAMILY 20 SUBFAMILY A MEMBER 1,"HopkinsGroom,RussLampel,HingoraniCasas",DRUGGABLE GENOME
CYP20A1,CYTOCHROME P450 FAMILY 20 SUBFAMILY A MEMBER 1,"HopkinsGroom,GuideToPharmacologyGenes",CYTOCHROME P450
ENTPD6,ECTONUCLEOSIDE TRIPHOSPHATE DIPHOSPHOHYDROLASE 6 (PUTATIVE),GO,CELL SURFACE
ENTPD6,ECTONUCLEOSIDE TRIPHOSPHATE DIPHOSPHOHYDROLASE 6 (PUTATIVE),HingoraniCasas,DRUGGABLE GENOME
ABCC5,ATP BINDING CASSETTE SUBFAMILY C MEMBER 5,"GuideToPharmacologyGenes,GO,HopkinsGroom",ABC TRANSPORTER
ABCC5,ATP BINDING CASSETTE SUBFAMILY C MEMBER 5,"GuideToPharmacologyGenes,GO",TRANSPORTER
ABCC5,ATP BINDING CASSETTE SUBFAMILY C MEMBER 5,"HingoraniCasas,RussLampel,HopkinsGroom",DRUGGABLE GENOME
KMO,KYNURENINE 3-MONOOXYGENASE,"HingoraniCasas,RussLampel,HopkinsGroom",DRUGGABLE GENOME
PMPCA,"PEPTIDASE, MITOCHONDRIAL PROCESSING ALPHA SUBUNIT","GO,HopkinsGroom",NEUTRAL ZINC METALLOPEPTIDASE
PMPCA,"PEPTIDASE, MITOCHONDRIAL PROCESSING ALPHA SUBUNIT","GO,dGene",PROTEASE
PMPCA,"PEPTIDASE, MITOCHONDRIAL PROCESSING ALPHA SUBUNIT","dGene,HopkinsGroom,RussLampel",DRUGGABLE GENOME
GCKR,GLUCOKINASE REGULATOR,GO,KINASE
HTR3E,5-HYDROXYTRYPTAMINE RECEPTOR 3E,"HopkinsGroom,GO",ION CHANNEL
HTR3E,5-HYDROXYTRYPTAMINE RECEPTOR 3E,"HopkinsGroom,RussLampel,HingoraniCasas",DRUGGABLE GENOME
HTR3E,5-HYDROXYTRYPTAMINE RECEPTOR 3E,"GO,GuideToPharmacologyGenes",TRANSPORTER
LIMD1,LIM DOMAINS CONTAINING 1,GO,TRANSCRIPTION FACTOR COMPLEX
TMED10,TRANSMEMBRANE P24 TRAFFICKING PROTEIN 10,HingoraniCasas,DRUGGABLE GENOME
ANO5,ANOCTAMIN 5,GO,TRANSPORTER
ANO5,ANOCTAMIN 5,GO,ION CHANNEL
CLPSL2,COLIPASE LIKE 2,HingoraniCasas,DRUGGABLE GENOME
OR5D14,OLFACTORY RECEPTOR FAMILY 5 SUBFAMILY D MEMBER 14,"dGene,HopkinsGroom,RussLampel",DRUGGABLE GENOME
OR5D14,OLFACTORY RECEPTOR FAMILY 5 SUBFAMILY D MEMBER 14,"dGene,HopkinsGroom,GO",G PROTEIN COUPLED RECEPTOR
MPC1,MITOCHONDRIAL PYRUVATE CARRIER 1,GO,TRANSPORTER
P4HA1,PROLYL 4-HYDROXYLASE SUBUNIT ALPHA 1,HingoraniCasas,DRUGGABLE GENOME
OR5AN1,OLFACTORY RECEPTOR FAMILY 5 SUBFAMILY AN MEMBER 1,"GO,dGene,HopkinsGroom",G PROTEIN COUPLED RECEPTOR
OR5AN1,OLFACTORY RECEPTOR FAMILY 5 SUBFAMILY AN MEMBER 1,"RussLampel,dGene,HopkinsGroom",DRUGGABLE GENOME
EXTL2,EXOSTOSIN LIKE GLYCOSYLTRANSFERASE 2,HingoraniCasas,DRUGGABLE GENOME
ALAD,AMINOLEVULINATE DEHYDRATASE,GO,DRUG RESISTANCE
JMJD1C,JUMONJI DOMAIN CONTAINING 1C,GO,TRANSCRIPTION FACTOR BINDING
JMJD1C,JUMONJI DOMAIN CONTAINING 1C,GO,HISTONE MODIFICATION
PADI1,PEPTIDYL ARGININE DEIMINASE 1,HingoraniCasas,DRUGGABLE GENOME
PADI1,PEPTIDYL ARGININE DEIMINASE 1,GO,HISTONE MODIFICATION
LRRC15,LEUCINE RICH REPEAT CONTAINING 15,GO,KINASE
LRRC15,LEUCINE RICH REPEAT CONTAINING 15,GO,TYROSINE KINASE
NIPA1,NON IMPRINTED IN PRADER-WILLI/ANGELMAN SYNDROME 1,GO,TRANSPORTER
SIDT1,SID1 TRANSMEMBRANE FAMILY MEMBER 1,GO,TRANSPORTER
CD68,CD68 MOLECULE,HingoraniCasas,DRUGGABLE GENOME
CAV3,CAVEOLIN 3,GO,SERINE THREONINE KINASE
CAV3,CAVEOLIN 3,GO,ION CHANNEL
CAV3,CAVEOLIN 3,GO,CELL SURFACE
