ensemble,chr,start,end,Gene_Name,mean_rd,gc_content,complexity,cds_len,gene_length,num_targ,segdups,dip,del,dup,del.sing,dup.sing,del.sing.score,dup.sing.score,del.score,dup.score,cnv.score,flag
ENSG00000095539.11,10,102729275,102745628,SEMA4G,84.24330936,0.567589868,194.0714286,2717,16353,14,0,59081,0,1,0,0,0.678558705,0.682764247,0.82478546,0.750674817,0.975374368,0
ENSG00000107815.3,10,102747124,102754158,C10orf2,127.0783632,0.54853646,372.5,2235,7034,6,0,58846,0,1,0,0,0.661257165,0.510841489,1.060129257,0.866594843,1.147619465,0
ENSG00000107816.13,10,102756375,102767593,LZTS2,63.42324159,0.664475633,508.5,2034,11218,4,0,58846,0,1,0,0,-0.060321788,-0.038108166,0.285480352,0.268882194,0.393006263,0
ENSG00000107819.9,10,102790991,102800998,SFXN3,89.06793403,0.570683445,94.33333333,1132,10007,12,0,58972,2,4,2,3,-0.963672705,-1.31453428,-0.103799922,-0.062343923,-0.064946378,0
ENSG00000107821.10,10,102821598,102827888,KAZALD1,51.47456837,0.604348727,234.75,939,6290,4,0,59008,0,1,0,0,-0.183417995,-0.08490901,0.190818303,0.251163313,0.348854598,0
ENSG00000107807.8,10,102889257,102897545,TLX1,44.49702726,0.657878356,348.6666667,1046,8288,3,0,58549,0,0,0,0,-0.243795885,-0.156874707,0.141273906,0.567797594,0.592253156,0
ENSG00000138136.5,10,102986733,102989551,LBX1,49.56444239,0.675930997,429,858,2818,2,0,59124,0,1,0,0,-0.219417016,-0.154670005,0.167865194,0.190246349,0.281994957,0
ENSG00000166167.13,10,103113820,103317078,BTRC,94.85570157,0.459046539,135.8571429,1902,203258,14,0,59128,5,51,5,29,-2.540511544,-2.872794981,-1.032717982,-2.531252393,-2.471627899,0
ENSG00000166171.8,10,103330317,103369425,DPCD,95.33355838,0.511032381,110.375,883,39108,8,0,59069,1,22,0,0,0.571767964,0.578169407,0.286868488,-2.531252393,-1.942424173,0
ENSG00000166169.12,10,103338639,103348027,POLL,77.20295589,0.554557131,196.8,1968,9388,10,0,58963,1,22,0,0,0.381596876,0.411841817,0.082779573,-2.531252393,-2.131994987,0
ENSG00000107829.9,10,103370423,103455052,FBXW4,111.1781214,0.564114787,128.75,1030,84629,8,0,59030,2,16,1,0,-0.126237671,0.749762579,0.018797621,-1.900013288,-1.383777638,0
ENSG00000107937.14,10,1034338,1065876,GTPBP4,84.45991563,0.457600719,129.5,2331,31538,18,0,59075,1,9,0,1,1.004368993,0.241349772,0.524434544,-0.92980395,-0.49654518,0
ENSG00000107831.8,10,103529899,103535854,FGF8,48.79773843,0.634219576,172.5,690,5955,4,0,58603,0,3,0,0,-0.119600369,-0.027630389,0.230031315,-0.32628591,-0.132195801,0
ENSG00000107833.6,10,103541082,103543170,NPM3,81.35485099,0.596698391,113.4,567,2088,5,0,58784,0,4,0,1,0.254790856,-0.511553033,0.559815561,-0.336136983,-0.023794507,0
ENSG00000198408.9,10,103544200,103578696,MGEA5,99.34671798,0.438642483,176.8235294,3006,34496,17,0,59047,0,3,0,0,1.109757351,1.059543839,1.196459825,0.387391864,0.798088335,0
ENSG00000120049.14,10,103585731,103603677,KCNIP2,66.18832006,0.569285577,112.8181818,1241,17946,11,0,59064,0,3,0,1,0.405387826,-0.298073025,0.597876459,-0.023867037,0.246412913,0
ENSG00000120029.8,10,103605356,103815950,C10orf76,109.7311435,0.445209567,96.08,2402,210594,25,0,59065,1,2,1,1,0.909419332,1.059045484,1.112504628,1.022342733,1.217421981,0
ENSG00000166189.6,10,103825147,103827792,HPS6,70.7504685,0.655674518,2334,2334,2645,1,0,58429,0,0,0,0,-0.514809071,-0.443738762,-0.104010544,0.134879941,0.152605018,0
ENSG00000198728.6,10,103867317,103880210,LDB1,85.53106727,0.555647311,132.1,1321,12893,10,0,59052,0,3,0,2,0.536796559,-0.904928546,0.752144512,0.076243386,0.386019572,0
ENSG00000148840.6,10,103892787,103910082,PPRC1,85.92957296,0.540182045,397,4764,17295,12,0,58931,0,1,0,1,0.421553574,-0.383013558,0.651488624,0.598698262,0.800849174,0
ENSG00000166197.12,10,103911933,103923627,NOLC1,98.46722179,0.519168954,171.5,2058,11694,12,0,59016,1,1,1,1,-0.158475611,-0.065062143,0.416773657,0.827196835,0.812718971,0
ENSG00000119915.4,10,103986085,103989346,ELOVL3,97.1997476,0.504005197,209.25,837,3261,4,0,58755,0,0,0,0,0.288236713,0.266254732,0.662813346,0.948665453,1.108393643,0
ENSG00000107862.4,10,104005289,104142656,GBF1,117.1988509,0.518830431,149.3846154,5826,137367,39,0,58855,8,3,6,3,-1.818016892,0.199805941,-0.987719254,1.052280626,0.239712034,0
ENSG00000077150.13,10,104153867,104162281,NFKB2,76.50520522,0.578076648,127.3,2546,8414,20,0,58941,1,2,0,1,0.966901478,0.220512857,0.446818752,0.573249974,0.621169593,0
ENSG00000059915.12,10,104162376,104181296,PSD,69.29098927,0.620527174,194.5294118,3307,18920,17,0,58976,0,1,0,0,0.730470211,0.758431251,0.796950799,0.748200011,0.952818858,0
ENSG00000107874.6,10,104183002,104192418,CUEDC2,109.6609232,0.583065819,114,912,9416,8,0,59034,0,0,0,0,0.751007111,0.681293429,1.011002336,1.247408742,1.453475967,0
ENSG00000138111.10,10,104221149,104236802,TMEM180,87.86250416,0.602983777,200.25,1602,15653,8,0,58922,2,0,1,0,-0.460702104,0.439913946,-0.298134727,1.007266944,0.562701572,0
ENSG00000138107.7,10,104238986,104262482,ACTR1A,115.5108777,0.519683919,108.8181818,1197,23496,11,0,59110,2,0,0,0,0.976315989,0.901771051,0.197942316,1.38381292,1.038088693,0
ENSG00000107882.7,10,104263744,104393292,SUFU,113.2706008,0.54245589,123.1818182,1355,129548,11,0,58884,4,2,1,0,0.084728117,0.97755237,-0.620565966,0.643347182,0.155386764,0
ENSG00000138175.8,10,104433488,104474164,ARL3,76.25757673,0.44772709,97.5,585,40676,6,0,58592,1,1,0,0,0.31693408,0.371534986,0.062412182,0.52821555,0.462969686,0
ENSG00000156398.8,10,104474295,104503249,SFXN2,98.46258313,0.529812249,96.27272727,1059,28954,11,0,59068,9,9,8,6,-2.846414641,-2.732143132,-2.192834429,-0.996509046,-1.410596213,0
ENSG00000166272.12,10,104503727,104576021,WBP1L,103.3657783,0.516666958,263.25,1053,72294,4,0,59075,1,1,0,0,0.36658897,0.358140388,0.181252719,0.601889477,0.554609767,0
ENSG00000148795.5,10,104590288,104597290,CYP17A1,86.56706325,0.516211116,196.875,1575,7002,8,0,59098,0,2,0,1,0.379699093,-0.396260431,0.663778086,0.27352085,0.533455085,0
ENSG00000166275.11,10,104613980,104624718,C10orf32,57.08824317,0.437307231,71.2,356,10738,5,0,58874,0,0,0,0,0.069175072,0.159624116,0.404530405,0.76756638,0.87671799,0
ENSG00000270316.1,10,104614029,104661656,C10orf32-ASMT,83.77039176,0.449494227,104.3333333,1565,47627,15,0,59024,2,1,0,0,0.898323209,0.932008776,-0.005616205,0.848298085,0.606899019,0
ENSG00000214435.3,10,104629273,104661656,AS3MT,97.11146606,0.455587726,120.9,1209,32383,10,0,58974,2,1,0,0,0.749120146,0.729924751,-0.035977329,0.80829775,0.568375038,0
ENSG00000148842.13,10,104678050,104849978,CNNM2,82.23400056,0.486276321,296,2960,171928,10,0,58941,0,0,0,0,0.470786313,0.545066532,0.645037448,0.931701136,1.088574998,0
ENSG00000076685.14,10,104845940,104953056,NT5C2,81.08641651,0.430215017,102,1836,107116,18,0,59153,0,0,0,0,1.097928196,1.161401934,1.093524371,1.294653642,1.531340287,0
ENSG00000235376.5,10,105005644,105007773,RP11-332O19.5,118.0157328,0.486251809,690,690,2129,1,0,58543,0,0,0,0,0.238132416,0.16373021,0.744493867,0.92348176,1.107329116,0
ENSG00000148798.5,10,105036920,105050108,INA,55.52963016,0.543512304,506,1518,13188,3,0,58706,0,1,0,0,-0.370943189,-0.262618328,0.073093896,0.112819541,0.204177704,0
ENSG00000156374.10,10,105062553,105110891,PCGF6,69.73963939,0.393172473,83,747,48338,9,0,59067,0,1,0,0,0.567157404,0.614602787,0.762082162,0.63394498,0.883207354,0
ENSG00000148835.9,10,105127724,105148822,TAF5,93.10229765,0.42205389,190.4,1904,21098,10,0,59043,0,2,0,0,0.699450034,0.658944388,0.92427417,0.433603074,0.763001898,0
ENSG00000173915.8,10,105148798,105156223,USMG5,68.47648435,0.434228324,113.3333333,340,7425,3,0,58953,0,18,0,1,0.049506076,-0.679785142,0.423354695,-2.531252393,-1.952630562,0
ENSG00000148843.9,10,105156405,105206049,PDCD11,94.8825656,0.516206858,162.6470588,5530,49644,34,0,59029,1,20,1,0,0.828943157,1.754608549,0.982327082,-1.829108824,-1.092033605,0
ENSG00000138172.6,10,105206543,105212660,CALHM2,83.25912138,0.617079669,542.5,1085,6117,2,0,59121,0,19,0,0,-0.042373885,-0.030033924,0.364978523,-2.531252393,-2.13453132,0
ENSG00000185933.6,10,105213144,105218645,CALHM1,52.1899289,0.643191514,526.5,1053,5501,2,0,59411,0,9,0,0,-0.319681165,-0.234556515,0.099719606,-1.703515388,-1.337941432,0
ENSG00000107954.6,10,105253736,105352309,NEURL,71.23978943,0.646584254,183.6666667,1102,98573,6,0,58919,0,6,0,0,0.304688048,0.369194057,0.520159721,-0.82057388,-0.453408369,0
ENSG00000107957.12,10,105348285,105615301,SH3PXD2A,86.13973207,0.55975161,244.7857143,3427,267016,14,0,58942,0,6,0,1,0.803822018,0.111862004,0.823353831,-0.589111933,-0.156065097,0
ENSG00000107960.6,10,105642300,105677963,OBFC1,88.11900077,0.467630284,129,1161,35663,9,0,58874,4,2,3,0,-1.829497626,0.580506032,-0.974709589,0.362171758,-0.176481157,0
ENSG00000065613.9,10,105726959,105788991,SLK,76.05480771,0.40899357,204.8333333,3687,62032,18,0,59060,1,4,1,0,0.032043673,0.95692704,0.452720873,-0.032419624,0.186544251,0
ENSG00000065618.12,10,105791044,105845760,COL17A1,86.25018337,0.580314246,89,4806,54716,54,0,58867,3,9,3,7,0.02201479,-1.377069391,0.487246228,-0.171960169,0.079215651,0
ENSG00000156384.10,10,105881816,105886143,SFR1,58.40426381,0.355055215,313.6666667,941,4327,3,0,58793,1,1,0,0,0.075283846,0.093433512,-0.083730401,0.330661226,0.26389668,0
ENSG00000197748.8,10,105889646,105992120,WDR96,82.71391483,0.410882658,138.5263158,5264,102474,38,0,58621,3,10,2,8,0.257482222,-2.280297813,0.217879337,-0.625902939,-0.304978254,0
ENSG00000148834.8,10,105995114,106027217,GSTO1,69.88270531,0.507776635,127,762,32103,6,0,58911,1,1,1,0,-0.760267215,0.233162665,-0.080205333,0.444494367,0.337746211,0
ENSG00000065621.10,10,106028631,106064703,GSTO2,77.87914923,0.523909356,128,768,36072,6,0,59068,0,1,0,0,0.236427484,0.297456201,0.531114195,0.502150103,0.684305715,0
ENSG00000148841.11,10,106071894,106098162,ITPRIP,86.5518104,0.626892792,1650,1650,26268,1,0,58781,0,1,0,0,-0.28781699,-0.241453013,0.154040899,0.010894591,0.1340648,0
ENSG00000120051.10,10,106113522,106214848,CCDC147,73.04617028,0.457137938,151.5,2727,101326,18,0,58909,1,1,1,0,-0.021987329,0.971280947,0.38042669,0.80144163,0.780092884,0
ENSG00000156395.8,10,106400859,107024993,SORCS3,82.54134939,0.495609556,123,3198,624134,26,0,59116,0,6,0,6,1.757982654,-1.589993414,1.330398922,-0.227974551,0.302208428,0
ENSG00000148377.5,10,1064847,1071799,IDI2,66.98151419,0.506330017,189,756,6952,4,0,59152,0,9,0,0,-0.04483318,0.031126788,0.330216876,-1.50072077,-1.071538408,0
ENSG00000108018.11,10,108333421,108924292,SORCS1,77.67950645,0.487470293,143.4285714,4016,590871,28,0,59127,1,5,1,5,0.827870236,-1.15972272,0.768058943,-0.024751733,0.285166901,0
ENSG00000067064.6,10,1085848,1095110,IDI1,46.72694417,0.466358712,175.5714286,1229,9262,7,0,58888,0,11,0,0,-0.046491166,0.069139889,0.295456803,-1.823816557,-1.360951007,0
ENSG00000047056.10,10,1095478,1178237,WDR37,68.15289827,0.517899227,122,1586,82759,13,0,59172,0,13,0,0,0.548121528,0.657354283,0.678394369,-1.773648246,-1.203914179,0
ENSG00000048740.13,10,11047259,11378674,CELF2,92.49143907,0.509256161,131.2142857,1837,331415,14,0,58905,0,2,0,2,1.03588245,-0.31369505,1.001965686,0.511854178,0.835768869,0
ENSG00000108039.13,10,111624524,111683311,XPNPEP1,90.25080475,0.503003869,104.3,2086,58787,20,0,59006,0,3,0,3,1.169414096,-0.851129628,1.165358337,0.403309025,0.786089357,0
ENSG00000148700.9,10,111756126,111895323,ADD3,91.88009269,0.427461942,157.5,2205,139197,14,0,58985,0,0,0,0,0.979505592,1.004294168,1.051922289,1.23728366,1.477487019,0
ENSG00000119950.16,10,111967363,112047123,MXI1,55.99211763,0.514459023,154,924,79760,6,0,59005,0,0,0,0,0.007828047,0.150128899,0.308539198,0.711841612,0.787043138,0
ENSG00000119953.8,10,112050488,112064709,SMNDC1,75.73534707,0.405052709,149.4,747,14221,5,0,58879,0,0,0,0,0.300232403,0.314898872,0.616396447,0.885387565,1.054376236,0
ENSG00000138166.5,10,112257596,112271302,DUSP5,105.1257692,0.58343013,294.75,1179,13706,4,0,58800,0,2,0,2,0.36529828,-1.155199868,0.733405549,0.299720571,0.569870713,0
ENSG00000108055.9,10,112327449,112364394,SMC3,81.23631665,0.385706642,132,3828,36945,29,0,58991,0,1,0,1,1.639019351,0.85446684,1.469560685,1.218105389,1.577041102,0
ENSG00000150593.11,10,112631565,112659764,PDCD4,89.93985424,0.405341736,124.0833333,1489,28199,12,0,59024,0,0,0,0,0.876805732,0.850939307,1.031881367,1.217001221,1.459091849,0
ENSG00000108061.7,10,112679301,112773425,SHOC2,77.17941777,0.404703658,224.625,1797,94124,8,0,59142,0,0,0,0,0.471865369,0.507629394,0.69646274,0.937856513,1.122648579,0
ENSG00000150594.5,10,112836790,112840658,ADRA2A,40.03140364,0.688034188,1403,1403,3868,1,0,59056,0,0,0,0,-0.582614925,-0.469918001,-0.120707801,0.224530783,0.207799361,0
ENSG00000119927.9,10,113909624,113975135,GPAM,83.21905253,0.446051274,130.9,2618,65511,20,0,59077,1,5,1,3,0.215729956,-0.893444041,0.586611801,-0.136477601,0.147184418,0
ENSG00000119913.4,10,114043493,114064793,TECTB,84.31165769,0.502137629,105,1050,21300,10,0,59044,2,3,2,0,-1.140489854,0.58764004,-0.227523072,0.079842812,-0.009918356,0
ENSG00000197142.6,10,114133776,114188138,ACSL5,95.80115926,0.477949644,109.3636364,2406,54362,22,0,58951,1,6,1,3,0.432186974,-0.705035664,0.773801745,-0.189306893,0.166685887,0
ENSG00000023041.7,10,114190058,114206672,ZDHHC6,71.14697362,0.399176691,130.2,1302,16614,10,0,59070,0,0,0,0,0.559955825,0.581680092,0.766442278,1.015327652,1.206616115,0
ENSG00000151532.9,10,114206756,114578503,VTI1A,70.74504715,0.473115566,87.75,702,371747,8,0,59131,0,0,0,0,0.562753887,0.753554188,0.62129677,0.902307667,1.056151897,0
ENSG00000148737.11,10,114710009,114927437,TCF7L2,77.15724635,0.535534278,128.5882353,2186,217428,17,0,59056,5,4,5,4,-2.635798264,-1.523675403,-1.196677701,-0.067014453,-0.523697083,0
ENSG00000148429.10,10,11495945,11653753,USP6NL,45.72696599,0.425029354,184.3571429,2581,157808,14,0,58979,1,0,1,0,-0.44723654,0.620727601,0.04168779,0.900492827,0.714860352,0
ENSG00000148702.10,10,115310596,115349361,HABP2,93.68675772,0.513153153,133.7857143,1873,38765,14,0,59103,1,2,0,1,0.854002847,0.076335612,0.452567654,0.537707786,0.609786241,0
ENSG00000197893.9,10,115348475,115423886,NRAP,107.9439144,0.499772974,130.5609756,5353,75411,41,0,58958,4,4,4,3,-0.791894962,0.169423056,0.11751432,0.757631737,0.58657573,0
ENSG00000165806.15,10,115438942,115490662,CASP7,112.314127,0.484368355,162.8333333,977,51720,6,0,59075,0,2,0,1,0.653131265,-0.184633893,0.967929821,0.479339544,0.804578503,0
ENSG00000148735.10,10,115511213,115543188,PLEKHS1,76.26317109,0.44869682,122.8333333,1474,31975,12,0,59084,1,0,1,0,-0.283077229,0.669501967,0.261300703,1.069045926,0.934624086,0
ENSG00000198924.3,10,115594488,115614142,DCLRE1A,103.5435904,0.411154815,353,3177,19654,9,0,59025,1,0,1,0,-0.234424956,0.57326387,0.42207731,1.129131355,1.047913834,0
ENSG00000196865.4,10,115614420,115676953,NHLRC2,90.87546411,0.429451637,204.2727273,2247,62533,11,0,58984,0,0,0,0,0.718908646,0.707402769,0.905825015,1.121925161,1.33789409,0
ENSG00000043591.4,10,115803806,115806667,ADRB1,37.39218443,0.719639139,1440,1440,2861,1,0,59425,0,0,0,0,-0.499009275,-0.41203685,-0.064250635,0.253410624,0.245531078,0
ENSG00000165813.12,10,115880621,115933979,C10orf118,83.51583027,0.364311591,189.9333333,2849,53358,15,0,58833,3,6,3,5,-1.36391924,-2.087360927,-0.299010757,-0.432774627,-0.363534845,0
ENSG00000095627.5,10,115939029,115992063,TDRD1,77.0111786,0.395963343,148.92,3723,53034,25,0,58916,1,0,1,0,0.460957597,1.389317496,0.738730439,1.440568051,1.391082946,0
ENSG00000165816.8,10,115999018,116051272,VWA2,97.07121545,0.571161182,204.1818182,2246,52254,11,0,58919,9,19,9,17,-2.846414641,-2.872794981,-2.284223959,-2.302250136,-2.213415611,0
ENSG00000169129.10,10,116054583,116164515,AFAP1L2,85.40315051,0.548576298,147.0588235,2500,109932,17,0,58948,1,0,1,0,0.024252004,0.995591337,0.429573345,1.232092393,1.106547528,0
ENSG00000099204.14,10,116190872,116444762,ABLIM1,101.2473084,0.507668343,110.68,2767,253890,25,0,59005,0,0,0,0,1.64703688,1.724019,1.451800117,1.59515023,1.876142433,0
ENSG00000151553.10,10,116581503,116659591,FAM160B1,101.9278938,0.420501989,147.4375,2359,78088,16,0,58921,1,1,1,0,0.279007113,1.151324252,0.724117955,1.02575271,1.086226958,0
ENSG00000165832.4,10,116697952,116737430,TRUB1,92.25384163,0.439367453,137.25,1098,39478,8,0,59018,1,5,1,2,-0.309754395,-0.866915062,0.313107283,-0.387734286,-0.135889025,0
ENSG00000107518.12,10,116853124,117708503,ATRNL1,74.96518183,0.410288394,151.2413793,4386,855379,29,0,59051,3,5,3,3,-0.256438309,0.149575986,0.10741737,0.044128336,0.111085788,0
ENSG00000151892.10,10,117816444,118032979,GFRA1,56.12645003,0.505678026,145.5,1455,216535,10,0,58716,0,0,0,0,0.325510515,0.516766188,0.465143916,0.825945189,0.930605108,0
ENSG00000134463.10,10,11784365,11806069,ECHDC3,72.6020722,0.547021946,191.5,766,21704,4,0,58963,1,4,1,4,-0.890812126,-2.503137921,-0.160443391,-0.488134715,-0.399920301,0
ENSG00000182645.5,10,118083940,118139541,CCDC172,49.08840407,0.348232719,103.375,827,55601,8,0,58901,0,0,0,0,0.432562951,0.496827966,0.652823071,0.899457205,1.075154199,0
ENSG00000203837.4,10,118187379,118237469,PNLIPRP3,87.01362179,0.412880087,123,1476,50090,12,0,59071,0,1,0,1,0.836390837,0.0543576,0.981705703,0.808451557,1.096291274,0
ENSG00000175535.6,10,118305443,118327367,PNLIP,84.49134616,0.465513665,122.5,1470,21924,12,0,59009,0,0,0,0,0.687162414,0.706352849,0.862762479,1.124983418,1.318279194,0
ENSG00000187021.10,10,118349897,118368687,PNLIPRP1,89.80238194,0.507975079,133.6153846,1737,18790,13,0,58949,1,1,1,1,-0.163374867,-0.02985244,0.374764166,0.801224123,0.777654185,0
ENSG00000165863.12,10,118423207,118429775,C10orf82,78.57061022,0.506874913,157.6,788,6568,5,0,58868,1,1,1,0,-0.75486192,0.198149923,-0.038544959,0.466090353,0.371979663,0
ENSG00000165868.8,10,118430703,118502085,HSPA12A,90.984014,0.54135302,192.8181818,2121,71382,11,0,58957,0,1,0,0,0.625093966,0.644674044,0.808409539,0.714769955,0.946074895,0
ENSG00000187164.13,10,118643742,118886097,KIAA1598,71.57018962,0.411519472,117.8125,1885,242355,16,0,59024,1,2,0,1,1.001595407,0.343682857,0.428325473,0.467676345,0.55441787,0
ENSG00000148426.8,10,11865338,11914276,PROSER2,48.35246622,0.640634844,442,1326,48938,3,0,58835,0,1,0,0,-0.26847347,-0.15858611,0.11115847,0.152968186,0.235457511,0
ENSG00000148704.8,10,118888032,118897812,VAX1,76.25825645,0.539937713,146.25,585,9780,4,0,58918,0,2,0,0,0.077531739,0.130258237,0.43070833,0.098814824,0.310980687,0
ENSG00000186795.1,10,118957000,118969810,KCNK18,128.0901003,0.53506757,391,1173,12810,3,0,58859,0,3,0,0,0.531853262,0.401466911,0.990785052,0.184719996,0.550354975,0
ENSG00000165646.7,10,119000604,119038941,SLC18A2,91.31359,0.504126423,109,1635,38337,15,0,58997,1,3,0,0,0.910803328,0.928732128,0.48088237,0.276604522,0.42278518,0
ENSG00000165650.7,10,119040000,119134978,PDZD8,74.28511545,0.467958189,699,3495,94978,5,0,58926,1,3,0,1,-0.096010675,-0.815981877,-0.263560264,-0.396727188,-0.363285392,0
ENSG00000170370.10,10,119301955,119309056,EMX2,51.53238323,0.580321832,259,777,7101,3,0,58774,1,0,0,0,-0.2781129,-0.166427146,-0.405014927,0.574451368,0.288573692,0
ENSG00000151461.15,10,11962021,12085169,UPF2,93.71880782,0.417469607,186,3906,123148,21,0,59112,2,8,0,4,1.321332313,-1.266234344,0.279600859,-0.622225197,-0.304693257,0
ENSG00000107560.6,10,119764427,119806114,RAB11FIP2,106.3467435,0.417586841,313.8,1569,41687,5,0,59023,1,3,0,2,0.543018475,-0.99130522,0.353468725,0.079121376,0.238982365,0
ENSG00000165669.9,10,120065401,120101840,FAM204A,81.25804629,0.385934676,106.2857143,744,36439,7,0,58927,1,0,0,0,0.575925434,0.573680087,0.280381266,1.030160032,0.923515465,0
ENSG00000119973.3,10,120352916,120355160,PRLHR,50.69469686,0.669642857,1119,1119,2244,1,0,59206,0,0,0,0,-0.467597632,-0.371764846,-0.01750578,0.331672212,0.33991065,0
ENSG00000151893.10,10,120433679,120514761,CACUL1,84.34394221,0.452121311,129.3333333,1164,81082,9,0,58981,1,0,0,0,0.570684055,0.615949663,0.239141474,1.035913911,0.903019042,0
